Common Words Part 10

'kiss': KEUS
'what': WHA
'that': THA
'desk': TKEFBG
'guns': TKPW-PBS
'line': HRAOEUPB
'boat': PWOET
'than': THAPB
'body': PWO*ED
'area': KWRA*ER
'tens': TEPBZ
'dies': TKAOEUZ
'tell': TEL
'died': TKAOEUD
'play': PHRAEU
'told': TOLD
'make': PHAEUBG
'ride': RAOEUD
'joke': SKWROEBG
'bone': PWOEPB
'gets': TKPWETS
'dirt': TKEURT
'rode': ROED
'torn': TORPB
'tore': TO*R
'tear': TAER
'main': PHAEUPB
'does': TKOS
'team': TAEPL
'wood': WAOD
'book': PWAOBG
'sign': SAOEUPB
'rich': REUFP
'wife': WAOEUF
'like': HRAOEUBG
'boot': PWAOT
'fact': TPABGT
'teas': TAES
'tall': TAUL
'done': TKOPB
'hold': HOLD
'bore': PWOR
'plan': PHRAPB
'last': HRAFT
'talk': TAUBG
'held': HELD
'sigh': SAOEU
'side': SAOEUD
'miss': PHEUS
'took': TAOBG
