Common Words Part 11

'fade': TPAEUD
'fail': TPAEUL
'sick': SEUBG
'both': PWO*T
'take': TAEUBG
'lean': HRAOEPB
'kick': KEUBG
'numb': TPH*UPL
'rest': REFT
'hole': HOEL
'gift': TKPWEUFT
'shut': SHUT
'head': HED
'fell': TPEL
'fall': TPAUL
'doer': TKO/ER
'kept': KEPT
'guys': TKPWEUS
'hair': HAEUR
'yell': KWREL
'dogs': TKOGS
'boys': PWOEUS
'wine': WAOEUPB
'show': SHOE
'jobs': SKWROBS
'pile': PAOEUL
'leaf': HRAOEF
'sure': SHUR
'fast': TPA*S
'door': TKAOR
'fear': TPAOER
'word': WORD
'able': ABL
'half': HAF
'fees': TPAOES
'when': WHEPB
'down': TKOUPB
'iced': AOEUS/-D
'feds': TPEDZ
'girl': TKPWEURL
'mine': PHAOEUPB
'feed': TPAOED
'hear': HAER
'drag': TKRAG
'suit': SAOUT
'wing': WEUPBG
'felt': TPELT
'give': TKPWEUF
'shop': SHOP
'draw': TKRAU
