Common Words Part 16

'teeth': TAO*ET
'tooth': TAO*T
'every': EF
'rooms': RAOPLS
'outer': OURT
'armed': ARPLD
'roofs': RAOFS
'birds': PWEURDZ
'worry': WOER
'bites': PWAOEUTS
'light': HRAOEUT
'tones': TOEPBS
'toned': TO*EPBD
'other': OER
'biter': PWAOEUT/ER
'rolls': ROLS
'today': TOED
'meets': PHAOETS
'extra': OEURBGS
'tires': TAOEURS
'tired': TAOEURD
'green': TKPWRAOEPB
'meant': PHEPBT
'timer': TAOEURPL
'order': ORD
'rocks': ROBGS
'roads': RAODZ
'timed': TAOEUPLD
'times': TAOEUPLS
'tying': TAOEUG
'black': PWHRABG
'river': REUFR
'group': TKPWRAOUP
'roses': ROES/-S
'threw': THRAOU
'block': PWHROBG
'throw': THROE
'blood': PWHRAOD
'rises': RAOEUZ/-Z
'three': THRAOE
'risen': REUFPB
'those': THOZ
'means': PHAOEPBS
'would': WO
'third': THEURD
'blown': PWHROEPB
'blows': PWHROES
'think': THEU
'rings': REUPBGS
'again': TKPWEPB
