Common Words Part 21

'holes': HOELS
'words': WORDZ
'spend': SPEBD
'spent': SPEPBT
'climb': KHRAOEUPL
'close': KHROES
'flies': TPHRAOEUS
'pulls': PULZ
'yards': KWRARDZ
'hurts': HURTS
'cloud': KHROUD
'speak': SPAOEBG
'night': TPHAOEUT
'spoke': SPOEBG
'lucky': HROEUBG
'prove': PROF
'nicer': TPHAOEURS
'space': SPAEUS
'coats': KOETS
'works': WORBGS
'south': SOUT
'flown': TPHROEPB
'sound': SOUPBD
'colds': KOLDZ
'flier': TPHRAOEUR
'newer': TPHUR
'lower': HROER
'souls': SOULS
'sorts': SORTS
'color': KROR
'sorry': SO*ER
'comes': KOPLS
'songs': SOPBGS
'never': TPHEF
'foods': TPAODZ
'joked': SKWROEBGD
'cools': KAOLS
'years': KWRAOERS
'wipes': WAOEUPS
'needs': THAOEDZ
'count': KOUPBT
'homes': HOEPLS
'force': TPORS
'press': PRES
'least': HRAO*ES
'happy': HAEP
'among': PHOPBG
'snows': STPHOE/-S
'cover': KOFR
