Common Words Part 22

'forms': TPORPLS
'crazy': KRAEZ
'snaps': STPHAPS
'jokes': SKWROEBGS
'cross': KROS
'crowd': KROUD
'frees': TPRAOE/-S
'smoke': SPHOEBG
'power': POUR
'freed': TPRAOED
'lover': HROFR
'pours': PAOURS
'freer': TPRAOER
'smile': SPHAOEUL
'loves': HROFS
'nears': TPHAOER/-S
'white': WHAOEUT
'smell': SPHEL
'cried': KRAOEUD
'cries': KRAOEUS
'fresh': TPRERB
'small': SPAUL
'hates': HAEUTS
'loved': HROFD
'porch': POFRPB
'front': TPROPBT
'slows': SHROES
'who's': WHO*S
'slips': SHREUPS
'whole': WHOEL
'young': KWRUPBG
'hated': HAEUT/-D
'slide': SHAOEUD
'dance': TKAPBS
'leave': HREF
'sleep': SHRAOEP
'slept': SHREPD
'named': TPHAEUPLD
'slams': SHRAPLS
'pools': PAOLS
'skies': SKAOEUS
'keyed': KAOED
'skins': SKEUPBS
'sized': SAOEUZ/-D
'sizes': SAOEUSZ
'names': TPHAEUPLS
'whose': WHOZ
'loses': HRAOUFS
'wider': WAO*EURD
'death': TK*T
