Common Words Part 23

'funny': TPAOUPB
'yells': KWRELS
'acted': ABGD
'point': POEUPBT
'singe': SEUPB/*PBLG
'sings': SEUPBGS
'desks': TKEFBGS
'since': SEUPBS
'music': PHAOUFBG
'dying': TKAOEUG
'games': TKPAEUPLS
'learn': HRERPB
'movie': PHOEF
'knees': TPHAOEZ
'doing': TK*G
'signs': SAOEUPBS
'mover': PHOFR
'wives': WEUFS
'gates': TKPWAETS
'looks': HAOBGS
'sight': SAOEUT
'don't': TKOEPBT
'sighs': SAOEU/-S
'sides': SAOEUDZ
'sided': SAOEUD/-D
'pleas': PHRAOEZ
'moves': PHOFS
'plays': PHRAEUZ
'moved': PHOFD
'leafs': HRAOEF/-S
'shuts': SHUTS
'shrug': SH/RUG
'joins': SKWROEUPBS
'mouth': PHO*UT
'world': WORLD
'plate': PHRAET
'wiped': WAOEUPD
'shows': SHOES
'shown': SHOEPB
'doors': TKAORS
'wiper': WAOEUP/ER
'plans': PHRAPBS
'hoped': HOEPD
'shove': SHOF
'hopes': HOEPS
'shout': SHOUT
'downs': TKOUPBS
'place': PHRAEUS
'dozen': TKOZ
'gifts': TKPWEUFTS
