Common Words Part 24

'short': SHORT
'horse': HORS
'haves': SR-S
'shops': SHOPS
'drags': TKRAGS
'draws': TKRAUS
'drawn': TKRAUPB
'dream': TKRAOEPL
'shots': SHOTS
'shoot': SHAOT
'mores': PHOE/REZ
'shoes': SHAOS
'dress': TKRES
'pinks': PEUPB/-BGS
'shirt': SHEURT
'drunk': TKR*UPBG
'drank': TKRAPBG
'piled': PAOEULD
'drink': TKREU
'ships': SHEUPS
'piles': PAOEULS
'lands': HRAPBDZ
'moons': PHAOPBS
'drive': KRAOEUF
'drove': TKROEF
'sheet': SHET
'wilds': WAOEULDZ
'piece': PAOES
'sharp': SHARP
'month': PHO*PBT
'girls': TKPWEURLS
'wrong': WROPBG
'given': TKPWEUFPB
'share': SHAEUR
'drops': TKROPS
'money': PHUPB
'locks': HROBG/-S
'above': PWOF
'picks': PEUBGS
'shape': SHAEUP
'photo': TPOET
'local': HROEL
'phone': TPOEPB
'gives': TKPWEUFS
'aging': AEUPBG/-G
'shook': SHAOBG
'leads': HRAEDZ
'shake': SHAEUBG
'heads': HEDZ
'glass': TKPWHRAS
