Common Words Part 28

'stupid': STAOUPD
'burned': PWURPBD
'stuffs': STUFS
'burner': PWUR/TPHER
'busier': PW-Z/KWRER
'strong': STROPBG
'anyone': TPHEUPB
'buying': PWAOEUG
'struck': STRUBG
'strike': STRAOEUBG
'bought': PWAUT
'buyers': PWAOEURS
'street': STRAOET
'called': KAULD
'calmed': KAPLD
'camera': KAPL/RA
'answer': AEPBS
'storms': STORPLS
'stores': STORS
'stored': STORD
'cannot': K/TPHOT
'animal': PHAPBL
'stones': STOEPBS
'caring': KARG
'sticks': STEUBGZ
'casing': KAEUS/-G
'stolen': STOEL/-PB
'steals': STAOELS
'stayed': STAEUD
'caught': KAUT
'causes': KAUFS
'stated': STAEUTD
'states': STAEUTS
'caused': KAUFD
'center': STR
'starts': STARTS
'chairs': KHAEURS
'stares': STAERS
'stared': STAERD
'chance': KHAPBS
'change': KHAEUPBG
'keeper': KAOEP/*ER
'stands': STAPBDZ
'cheeks': KHAOEBGS
'stairs': STAEURS
'stages': STAEUPBLGS
'sprang': SPRAPBG
'spring': SPREUPBG
'sprung': SPRUPBG
'choice': KHOUS
