Common Words Part 30

'smells': SPHELS
'slowly': SHROEL
'slowed': SHROED
'slower': SHROER
'cutter': KAOURT
'slider': SHRAOEUD/ER
'slides': SHRAOEUDZ
'danced': TKAPBS/-D
'sleeps': SHRAOEPS
'darker': TKA*ERBG
'sizing': SAOEUFG
'sister': ST-R
'decide': TK-DZ
'single': SEUPBLG
'deeper': TKAOERP
'simply': SAO*EPL or S*EUPL/HREU
'simple': S*EUPL
'widest': WAOEUD/*ES
'silver': SEUL/SRER
'silent': SHREPBT
'dinner': TKEURPB
'signed': SAOEUPBD
'siding': SAOEUD/-G
'didn't': TK-PBT
'sicker': SEUBG/*ER
'shrugs': SHR*UGS
'doctor': TKR
'shower': SHOUR
'showed': SHOED
'shoves': SHOF/-S
'shoved': SHOFD
'shouts': SHOUTS
'should': SHO
'dozens': TKOZ/-Z
'shorts': SHORTS
'dreams': TKRAOEPLS
'shoots': SHAOTS
'drunks': TKRUPB/-BGS
'shirts': SHEURTS
'drinks': TKREUS
'sheets': SHAOETS
'driven': TKREUFPB
'drives': TKREUFS
'driver': TKREUFR
'sharer': SHAEUR/ER
'shared': SHAEURD
'shares': SHAEURS
'drying': TKRAOEUG
'shapes': SHAEUPS
'driest': TKRAOEU/*ES
