Common Words Part 34

'fuller': TPUL/*ER
'wiping': WAOEUPG
'future': TPAOURT
'pointy': POEUPBT/KWREU
'points': POEUPBTS
'pocket': POBGT
'garden': TKPWA*RPB
'please': PHRES
'player': PHRAEUR
'gather': TKPWAER
'played': PHRAEUD
'gently': SKWREPBT/HREU
'plates': PHRAEUTS
'plated': PHRAEUT/-D
'gotten': TKPW*PB
'placed': PHRAEUFD
'places': PHRAEUFS
'gifted': TKPWEUFT/-D
'piling': PAOEULG
'pieces': PAOEFS
'giving': TKPWEUFG
'picked': PEUGD
'photos': TPOE/TOES
'phoned': TPOEPBD
'phones': TPOEPBS
'glance': TKPWHRAPBS
'wipers': WAOEUP/ERS
'people': PAOEPL
'person': PERPB
'paying': PAEUG
'paused': PAUS/-D
'pauses': PAUS/-S
'passes': PA*FS
'passed': PAFD
'parted': PARTD
'parent': PARPBT
'papers': PAEUPS
'palmed': PAUPL/-D
'paired': PAEURD
'paints': PAEUPBTS
'owners': OERPBS
'wishes': WEURBS
'owning': OEPBG
'greens': TKPWRAOEPBS
'wished': WEURBD
'outing': OUT/-G
'others': OERS
'orders': ORDZ
'ground': TKPWROUPBD
'within': W-PB
