Common Words Part 40

'whiting': WHAOEUT/-G
'makings': PHAEUBG/-GS
'hitting': HEUGT
'manning': PHAPB/-G
'strikes': STRAOEUBGS
'tracked': TRABGD
'history': HEUFRT
'himself': H*EUPLS
'managed': PHAPBGD
'manages': PHAPBGZ
'mapping': PHAPG
'marking': PHARBG/-G
'highest': HAOEU/EFT
'against': STPWEPBS
'silence': SHREPBS
'busiest': PWUS/KWREFT
'married': PHAERD
'marries': PHAERS
'matters': PHAERTS
'student': STAUPB
'dinners': TKEUPB/ERS
'meaning': PHAOEPBG
'herself': H*ERS
'attacks': A/TABGS
'willing': -LG
'meeting': PHAOEGT
'members': PHEPLS
'helpers': HEP/ERS
'helping': HEPG
'studied': STUD/EUD
'studies': STAO*UDZ
'mention': PHEPBG
'despite': STKPAOEUT
'message': PHEPBLG
'belongs': PWHROPBGS
'heavier': HEF/KWRER
'simpler': SEPL/PHRER
'singing': SEUPBG/-G
'heaters': HAOET/ERS
'stuffed': STUFD
'deepest': TKAOEP/EFT
'middles': PHEUD/-LS
'singles': SEUPBG/*LS
'burners': PWURPB/ERS
'heating': HAOEGT
'minding': PHAOEUPBD/-G
'already': HR-R
'hearing': HAERG
'minutes': PHEUBS
'mirrors': PHEUR/ORS
