Common Words Part 58

'forgotten': TPO*RGD
'stretches': STREFPS
'foreheads': TPOER/HEDZ
'stretched': STREFPD
'prettiest': PRET/KWR*ES
'bathrooms': PWR-PLS
'following': TPOLG
'promising': PROPLS/-G
'flowering': TPHROU/ERG
'strongest': STROPBG/EFT
'questions': KWES
'stupidest': STAOUPD/*ES
'finishing': TP*EURBG
'buildings': PWHR-GS
'fingering': TPEUPBG/ERG
'realizing': RAELD/AOEUZ/-G
'reasoning': R-PBG
'receiving': SAOEFG
'attention': A/T-PBGS
'recognize': REZ
'suggested': SUGD
'remaining': RE/PHAEPBG
'breathing': PWRAO*EGT
'remembers': RERS
'attacking': A/TABG/-G
'supposing': SPOEFG
'reminding': RE/PHAOEUPBD/-G
'fathering': TPAUR/-G
'repeating': RE/PAOEGT
'surfacing': SUR/TPAS/-G
'returning': RURPBG
'revealing': RAOE/SRAOELG
'branching': PWRAPB/-FPG
'surprises': SPRAOEUFS
'surprised': SPRAOEUFD
'direction': TKREBGS
'explained': SPHRAEUPBD
'expecting': EBGS/PEG
'excepting': KPEPT/-G
'everybody': EFB
'bothering': PWOERG
'teachings': TAOEFPGS
'schooling': SKAOLG
'screaming': SKRAOEPLG
'screening': SKRAOEPBG
'searching': SEFRPBG
'seconding': SEBGD/-G
'seriously': SAOERLS
'servicing': SER/SREUS/-G
'dressings': TKREFGS
