Common Words Part 59

'shoulders': SHOULD/*ERZ
'showering': SHOURG
'doctoring': TKR-G
'shrugging': SHR*UG/-G
'sightings': SAOEUT/-GS
'distances': STKAPBSZ
'wrappings': WRAP/-GS
'admitting': AD/PHEUGT
'discovers': SKOFRS
'disappear': TKEUS/PAOER
'bettering': PWET/ER/-G
'different': TKEUFRT
'silvering': SEUL/SRER/-G
'situation': SWAEUGS
'belonging': PWAOE/HROPBG/-G
'daughters': TKAURS
'accepting': SEPG
'crossings': KROFGS
'creatures': KRAOEFPS
'countries': KUPBTS
'believers': PWHREFRS
'countered': KOUPBT/ERD
'believing': PWHREFG
'appearing': A/PAOERG
'something': S-G
'sometimes': STAOEUPLS
'travelled': TRAFLD
'beginning': STKWEUPB/-G
'apartment': ARPLT
'traveling': TRAFLG
'traveller': TRA*FL/ER
'continued': T-PBD
'continues': T-PBS
'travelers': TRA*FL/ERS
'considers': K-RS
'confusing': KAOUFG
'computers': KPAOURTS
'beautiful': PWAOUFL
'companies': K-PS
'troubling': TRUBLG
'somewhere': SWR
'colorings': KOL/ORGS
'discovered': SKOFD
'interested': TR-D
'whispering': WHEUS/PERG
'apartments': APT/-PLTS
'approached': A/PROEFPD
'mentioning': PHEPBGS/-G
'happenings': HAPGS
'approaches': A/PROEFPS
