Common Words Part 7

'well': WEL
'name': TPHAEUPL
'outs': OUTS
'came': KAEUPL
'laws': HRAUS
'soon': SAOPB
'song': SOPBG
'lock': HROBG
'sons': SOPBS
'true': TRAOU
'know': TPHOE
'save': SAF
'come': KOPL
'with': W
'bear': PWAER
'born': PWORPB
'mark': PHARBG
'beat': PWAET
'lets': HR*ETS
'trip': TREUP
'cool': KAOL
'year': KWRAOER
'must': PHUFT
'cops': KOPS
'form': TPORPL
'sand': SAPBD
'same': SAEUPL
'tree': TRAOE
'four': TPOUR
'beds': PWEDZ
'I'll': AOEUL
'beer': PWAOER
'join': SKWROEUPB
'soft': SOFT
'much': PHUFP
'safe': SAEUF
'keep': KAOEP
'snow': STPHOE
'maps': PHAPS
'less': HRES
'hill': HEUL
'many': PHAEPB
'snap': STPHAP
'jump': SKWR*UPL
'rush': RURB
'legs': HREGS
'pour': POR
'free': TPRAOE
'town': TOUPB
'move': PHOF
