Single-Stroke Briefs Part 1

'3D': 30*EUD
'abbreviate': PWRAOEFT
'abbreviation': PWRAO*EFGS
'abdomen': A*BD
'abdominal': TKPHAL
'aberration': PWRAEUGS
'ability': ABT
'ablation': PWHRAEUGS
'abnormal': PWHAL
'abnormality': PHA*LT
'abort': PWORT
'abs': ABS
'absolute': SHRAOUT
'absorb': SPWORB
'absorption': SPWORBGS
'accelerate': SHRERT
'acceleration': SHRERGS
'accent': KP*EPBT
'acceptability': SEPBLT
'acceptance': S*EPS
'access': KPES
'accessibility': SEBLT
'accessible': SEBL
'accidence': STKEPBS
'accident': STKEPB
'accidental': STKEPBL
'accomplish': PHREURB
'accomplishment': PHREUPLT
'according': KORG
'account': K-T
'ace': AEUS
'ache': AEUBG
'ached': AEUBGD
'acid': SA*EUD
'acquired': KWAOEURD
'acquisition': KWEUGS
'acre': AEURBG
'acrylic': KREULG
'action': *BGS
'activate': TA*EFT
'activated': TAEFD
'activation': TAEFGS
'active': TAEF
'activity': TA*ET
'actor': ARBGT
'actual': TAOUL
'actuality': TWAULT
'actualize': TWAULZ
'ad': A*D
'addition': AGS
