Single-Stroke Briefs Part 100

'slog': SHROG
'sloop': SHRAOP
'slop': SHROP
'slope': SHROEP
'slosh': SHRORB
'slot': SHROT
'sloth': SHRO*T
'slouch': SHROUFP
'slough': SHROF
'sloughing': SHRUFG
'sloven': SHROFPB
'slow': SHROE
'slower': SHROER
'sludge': SHRUPBLG
'slue': SHRU
'slug': SHRUG
'slugged': SHRUGD
'sluice': SHRAOUS
'slum': SHRUPL
'slump': SHR*UPL
'slung': SHRUPBG
'slunk': SHRAO*UPBG
'slur': SHRUR
'slurred': SHRURD
'slurring': SHRURG
'slush': SHRURB
'slut': SHRUT
'sly': SHRAOEU
'smack': SPHABG
'small': SPAUL
'smaller': SPHAURL
'smart': SPHART
'smash': SPHARB
'smear': SPHAOER
'smearing': SPHAOERG
'smell': SPHEL
'smelt': SPHELT
'smidgeon': SPH*EUGS
'smiled': SPHAOEULD
'smiling': SPHAOEULG
'smirch': SPHEUFRPB
'smirk': SPHEURBG
'smite': SPHAOEUT
'smock': SPHOBG
'smog': SPHOG
'smoke': SPHOEBG
'smoked': SPHOEBGD
'smoker': SPHOERBG
'smoking': SPHOEG
'smooch': SPHAOFP
