Single-Stroke Briefs Part 101

'smooth': SPHAO*T
'smoother': SPHAO*RT
'smote': SPHOET
'smudge': SPHUPBLG
'smudged': SPHUPBLGD
'smug': SPHUG
'smuggle': SPHULG
'smut': SPHUT
'snack': STPHABG
'snag': STPHAG
'snagged': STPHAGD
'snail': STPHAEUL
'snake': STPHAEUBG
'snaked': STPHAEUBGD
'snapped': STPHAPD
'snapping': STPHAPG
'snare': STPHAEUR
'snared': STPHAEURD
'snaring': STPHAEURG
'snarl': STPHARL
'snatch': STPHAFP
'snatching': STPHAFPG
'sneak': STPHAEBG
'sneer': STPHAOER
'sneeze': STPHAOEZ
'snick': STPHEUBG
'snide': STPHAOEUD
'sniff': STPHEUF
'sniffer': STPHEUFR
'sniffle': STPH*EUFL
'snip': STPHEUP
'snipe': STPAOEUP
'snipped': STPHEUPD
'snippet': STPHEUPT
'snipping': STPHEUPG
'snit': STPHEUT
'snitch': STPHEUFP
'snivel': STPHEUFL
'snob': STPHOB
'snoop': STPHAOP
'snoot': STPHAOT
'snooze': STPHAOZ
'snore': STPHAUR
'snoring': STPHOERPBG
'snort': STPHORT
'snot': STPHO*T
'snout': STPHOUT
'snow': STPHOE
'snowball': STPHOEBL
'snowfall': STPHOEFL
