Single-Stroke Briefs Part 107

'stainless': STAEUPBLS
'stair': STAEUR
'stake': STAEUBG
'staked': STAEUBGD
'stale': STAEUL
'stalk': STAUBG
'stall': STAUL
'stalled': STAULD
'stamp': STA*PL
'stance': STAPBS
'stand': STAPBD
'standard': 12-D
'standpoint': STAPT
'stank': STA*PBG
'stanza': STO*EUPBZ
'staph': STA*F
'staple': STAEUPL
'starch': STAFRPB
'stare': STAER
'stark': STARBG
'starlet': STARLT
'starlight': STARLGT
'starling': STARLG
'starred': STARD
'starring': STARG
'start': START
'starve': STAFRB
'starved': STAFRBD
'starving': STAFRBG
'stash': STARB
'stasis': STAES
'stat': STAT
'state': STA*ET
'state-of-the-art': STA*EUFRT
'statement': STAEUPLT
'static': STA*BG
'station': STAEUGS
'statistic': ST*EUBG
'statue': STOEUT
'status': ST*TS
'statute': STAUT
'staunch': STAUFRPB
'stave': STAEUF
'stead': STED
'steady': ST*ED
'steak': STAEBG
'stealth': ST*ELT
'steam': STAEPL
'steed': STAOED
'steel': STAOEL
