Single-Stroke Briefs Part 108

'steep': STAOEP
'steeper': STAOERP
'steer': STAOER
'stellate': STELT
'stem': STEPL
'stemmed': STEPLD
'stemming': STEPLG
'stench': STEFRPB
'steno': STOEUPB
'stenographer': STPHOFRG
'stepped': STEPD
'stepping': STEPG
'stereo': STOEUR
'sterile': STERL
'sterility': STERLT
'sterilize': STERLZ
'sterling': STERLG
'stern': STERPB
'sternal': STERPBL
'sternum': STERPL
'steroid': STRO*EUD
'stet': STET
'stew': ST*U
'steward': STAOURD
'sticky': STO*EUBG
'stiff': STEUF
'stiffen': STEUFPB
'stiffer': STEUFR
'stiffness': STEUFPBS
'stifle': STAOEUFL
'stile': ST*EUL
'stilt': STEULT
'stimulate': ST*EUPLT
'stimuli': SHRAO*EU
'stimulus': SHRUS
'sting': STEUPBG
'stink': ST*EUPBG
'stint': STEUPBT
'stipend': STAOEUPD
'stipple': STEUPL
'stir': STEUR
'stirred': STEURD
'stirring': STEURG
'stirrup': STEURP
'stitch': STEUFP
'stoat': STOET
'stock': STOBG
'stockbroker': STPWROERBG
'stockholder': STHORLD
'stoic': STOEUBG
