Single-Stroke Briefs Part 115

'tang': TAPBG
'tangential': TEPBL
'tangibility': TAPBLT
'tangible': TAPBL
'tank': TA*PBG
'tap': TAP
'tape': TAEUP
'taper': TAEURP
'tapered': TAEURPD
'tapped': TAPD
'tapping': TAPG
'tar': TAR
'tare': TA*ER
'target': TARGT
'tarp': TARP
'tarred': TARD
'tarring': TARG
'tart': TART
'task': TAFBG
'taste': TA*EUS
'tat': TAT
'tattles': TALTS
'tau': TAU
'taunt': TAUPBT
'taupe': TAUP
'taut': TA*UT
'tavern': TAFRPB
'tax': TAGS
'taxation': TA*EUBGS
'taxi': TAEBGS
'taxicab': TAEB
'taxpayer': TA*EUP
'teach': TAOEFP
'teacher': TAO*EFP
'teak': TAOEBG
'teal': TAOEL
'team': TAEPL
'tear': TAER
'teat': TAOET
'tech': TEBG
'technician': T*EUBGS
'technique': TPHAOEBGT
'technologies': TOPBLGS
'technology': TOPBL
'tee': TAOE
'teem': TAO*EPL
'teen': TAOEPB
'teenage': TAEUPBLG
'teenager': TAEURPBLG
'teleconference': T-FRPBS
