Single-Stroke Briefs Part 117

'thence': THEPBS
'theology': THOLG
'theorem': THAOERPL
'theoretical': THOEURL
'theories': THOEURS
'theory': THOEUR
'therapeutic': THRAOUBG
'therapies': TH*ERPS
'therapist': TH*EUFT
'therapy': TH*ERP
'there': THR
'there'd': THR-D
'there'll': THR-L
'there's': THR-S
'thereabout': THR-BT
'thereafter': THRAF
'thereat': THRAT
'thereby': THR-B
'therefore': TH-FR
'therefrom': THR-FRPL
'therein': THR-PB
'thereof': THROF
'thereon': THROPB
'thereto': THR*T
'thereunder': THR-PBD
'thereupon': THRUP
'therewith': THR*EUT
'therm': THERPL
'thermal': TH*ERL
'thermometer': THERPLT
'theta': THO*EUT
'they': THE
'they'd': THED
'they'll': THEL
'they're': THER
'they've': THEF
'thick': THEUBG
'thicker': THEURBG
'thicket': THEUBGT
'thief': THAOEF
'thieves': THAOEFS
'thigh': THAOEU
'thin': THEUPB
'thine': THAOEUPB
'thing': THEUPBG
'think': THEU
'thinker': THEUR
'thinned': THEUPBD
'thinner': THEURPB
'thinning': THAO*EPBG
