Single-Stroke Briefs Part 118

'third': THEURD
'third-degree': TH-D
'thirst': THEURS
'thirteen': THRAOEPB
'thirteenth': THRAOEPBT
'thirty': THEURT
'thither': TH*EURT
'tho': THO*
'thong': THOPBG
'thoracic': THRABG
'thorax': THRABGS
'thorn': THORPB
'thorough': THRO
'thou': THO*U
'thought': THAUT
'thoughtful': THAUFL
'thrall': THRAUL
'thrash': THRARB
'thread': THRED
'threat': THRET
'threaten': THREFPB
'three-dimensional': 3*D
'thresh': THRERB
'threshold': THRERBLD
'thrice': THRAOEUS
'thrift': THREUFT
'thrill': THREUL
'thrive': THRAOEUF
'thriver': THRAO*EUFR
'thriving': THAOEUFG
'throat': THROET
'throb': THROB
'throbbed': THROBD
'throbbing': THROBG
'throe': THRO*E
'throne': THRO*EPB
'throng': THROPBG
'throughout': THROUT
'throw': THROE
'thrower': THROER
'thrown': THROEPB
'thrush': THRURB
'thrust': THR*US
'thud': THUD
'thug': THUG
'thumb': THUPL
'thump': TH*UPL
'thunk': THUPBG
'thus': THUS
'thwack': TWHABG
