Single-Stroke Briefs Part 13

'boo': PWAO
'boob': PWAOB
'books': PWAOBGS
'boom': PWAOPL
'boon': PWAOPB
'boor': PWAOR
'boost': PWAO*S
'booth': PWAO*T
'booths': PWAO*TS
'booze': PWAOZ
'bop': PWOP
'border': PWRORD
'bored': PWORD
'bores': PWORS
'boric': PWORBG
'borne': PWO*RPB
'borough': PWRO
'borrow': PWO*ER
'borrower': PWRO*ER
'borscht': PWOFRT
'bosh': PWO*RB
'boss': PWOS
'bot': PWOT
'botch': PWOFP
'bother': PWOER
'bottled': PWO*LTD
'bottles': PWO*LTS
'bough': PWO*U
'boulder': PWOURLD
'boulevard': PW-FD
'bounce': PWOUPBS
'bound': PWOUPBD
'bout': PWOUT
'bow': PWOE
'bowel': PWOUL
'bower': PWOUR
'bowl': PWOEL
'bowling': PWOELG
'boyfriend': PWOEUF
'bps': PW*PS
'bra': PWRA
'brace': PWRAEUS
'bracing': PWRA*EUFG
'bracket': PWABGT
'bract': PWRA*BGT
'brag': PWRAG
'bragged': PWRAGD
'braid': PWRAEUD
'braise': PWRAEUZ
'brake': PWRAEUBG
