Single-Stroke Briefs Part 16

'bundle': PWUPBLD
'bung': PWUPBG
'bunk': PW*UPBG
'bunt': PWUPBT
'buoyant': PWOEUPBT
'burble': PWURBL
'burden': PWURD
'burgeon': PWURGS
'burger': PWRURG
'burglar': PWHRAR
'burl': PWURL
'burnt': PWURPBT
'burp': PWURP
'burr': PWUR
'burst': PW*URS
'butch': PWUFP
'butt': PW*UT
'butter': PWAOURT
'button': PW*UPBT
'buyer': PWAOEUR
'buzz': PWUZ
'bye': PWAO*EU
'bylaw': PWHRAU
'byline': PWHRAOEUPB
'byte': PWAO*EUT
'cab': KAB
'cabinet': KABT
'cable': KAEUBL
'cabled': KAEUBLD
'cache': KAERB
'cad': KAD
'cadge': KAPBLG
'cage': KAEUPBLG
'caged': KAEUPBLGD
'cairn': KA*EURPB
'cake': KAEUBG
'caked': KAEUBGD
'cal': KAL
'calamity': KHRAPLT
'calcium': KAFPL
'calculate': KALG
'calculated': KHRAEUTD
'calculating': KHRAEUGT
'calculation': KHRAEUGS
'calculator': KHROERT
'calf': KA*FL
'call': KAUL
'callback': KHRA*BG
'calyx': KAEULGS
'cam': KAPL
