Single-Stroke Briefs Part 18

'carjack': KARPBLG
'carnal': KARPBL
'carotid': KR09D
'carp': KARP
'carpal': KARPL
'carpet': KARPT
'carpets': KARPTS
'carriage': KAEURPBLG
'carried': KAERD
'carries': KAERS
'carrot': KAEURT
'carry': KAER
'cart': KART
'cartilage': KRAPBLG
'cartographer': KRER
'carts': KARTS
'carve': KAFRB
'carved': KAFRBD
'carving': KAFRBG
'case': KAEUS
'casement': KAEUPLT
'casework': KAEURBG
'cash': KARB
'cask': KAFBG
'casket': KAFBGT
'cast': KA*S
'caste': KA*ES
'castle': KAFL
'casual': KAEFL
'cat': KAT
'cataract': KRA*BT
'catch': KAFP
'categories': KOERGS
'categorize': KOERGZ
'categorized': KOERGD
'category': KOERG
'cattle': KA*LT
'caudal': KA*ULD
'caulk': KAUBG
'causal': KAUFL
'caused': KAUFD
'caution': KAUGS
'cautious': KAURBS
'cave': KAF
'cavern': KAFRPB
'caverns': KAFRPBS
'cavity': KA*FT
'caw': KAU
'cay': KA*E
'cc': KR*BG
