Single-Stroke Briefs Part 19

'cease': SAOES
'cecum': SKAO*EPL
'cede': KRAED
'ceilings': KRAOELGS
'celebrity': SHREBT
'cell': KREL
'cement': SEPLT
'cements': SPHEPBTS
'cent': KREPBT
'centers': STR-S
'centimeter': KR*PL
'centimeters': KR*PLS
'central': SKRAL
'centrality': STRALT
'centric': STREUBG
'century': KROEURPBT
'cereal': KRAOERL
'cerebellar': SPWHRAR
'cerebellum': SPWREPL
'cerebral': KRAOEBL
'cert': SERT
'certainty': SERPBT
'certificate': SER
'certification': SERBGS
'certified': SERD
'cession': KREGS
'cha': KHA
'chafe': KHAEUF
'chafed': KHAEUFD
'chaff': KHAF
'chain': KHAEUPB
'chair': KHAEUR
'chaired': KHAEURD
'chairman': KHEURPL
'chairperson': KHAEURP
'chaise': KHAEUZ
'chalk': KHAUBG
'challenge': KHALG
'challenged': KHALGD
'chamber': KHAEURPL
'champ': KHA*PL
'chance': KHAPBS
'chancre': SHARPBG
'change': KHAEUPBG
'changed': KHAEUPBGD
'changer': KHAEURPBG
'channel': KHAPBL
'chant': KHAPBT
'chap': KHAP
'chapel': KHAPL
