Single-Stroke Briefs Part 23

'clinch': KHREUFRPB
'cling': KHREUPBG
'clinic': KHRAO*EPG
'clinical': KHR*EUL
'clinician': KHR*EPBGS
'clink': KHR*EUPBG
'clip': KHREUP
'clipped': KHREUPD
'clipping': KHREUPG
'clique': KHR*EUBG
'cloak': KHROEBG
'clock': KHROBG
'clod': KHROD
'clog': KHROG
'clogged': KHROGD
'clomp': KHRO*PL
'clone': KHROEPB
'cloned': KHROEPBD
'cloning': KHROEPBG
'closed': KHROEFD
'closer': KHROERS
'closet': KHROFT
'closeup': KHRO*UP
'closure': KHRO*ERS
'clot': KHROT
'cloth': KHRO*T
'clotted': KHROTD
'clotting': KHROGT
'cloture': KHROEFP
'clout': KHROUT
'clove': KHROEF
'cloven': KHROEFPB
'clover': KHROEFR
'clown': KHROUPB
'cloy': KHROEU
'club': KHRUB
'cluck': KHRUBG
'clue': KHRAOU
'clump': KHR*UPL
'clung': KHRUPBG
'clunk': KHR*UPBG
'cluster': KHRUFRT
'clutch': HRUFP
'clutter': KHRAOURT
'co': KO*
'co-operate': KRO*PT
'coach': KOEFP
'coal': KOEL
'coast': KO*ES
'coat': KOET
