Single-Stroke Briefs Part 25

'comma': KPHA
'command': KPHAPBD
'commence': KPHEPBS
'commend': KPHEPBD
'comment': KOPLT
'commerce': KPHERS
'commercial': KPERBL
'commit': KPHEUT
'commitment': KPHUPLT
'commits': KPHEUTS
'committed': KPHEUTD
'committee': KPHAOE
'committing': KPHEUGT
'commode': KPHOED
'commodity': KPHOT
'common': KPHOPB
'commotion': KPHOEGS
'communal': KPHAOUPBL
'commune': KPHAOUPB
'communed': KPHAOUPBD
'communicate': KAEUBGT
'communication': KAEUBGS
'community': KPHUPBT
'commute': KPHAOUT
'commuter': KPHAOURT
'comp': KO*PL
'compact': KPABGT
'compaction': KPABGS
'companies': K-PS
'company': K-P
'comparable': KPARBL
'compare': KPAR
'compared': KPARD
'comparing': KPARG
'comparison': KPAEURPB
'compartment': KPARPLT
'compass': KPAS
'compassion': KPAGS
'compatibility': KPABLT
'compatible': KPABL
'compel': KPEL
'compelled': KPELD
'compelling': KPELG
'compete': KPAOET
'competence': KPEPBS
'competent': KPE
'competes': KPAOETS
'competing': KPAOEGT
'competition': KPEGS
'competitive': KPEF
