Single-Stroke Briefs Part 26

'competitively': KPEFL
'competitor': KPOR
'compilation': KPAOEULGS
'compile': KPAOEUL
'compiled': KPAOEULD
'compiler': KPAOEURL
'complacent': KPHRAEUFPBT
'complain': KPHRAEUPB
'complainer': KPHRAEURPB
'complaint': KPAEUPBT
'complaints': KHRAOEUPBS
'complement': PHREPLT
'complete': KPHRAOET
'completed': KPHRAOETD
'completing': KPHRAOEGT
'completion': KPHRAOEGS
'complex': KPHREBGS
'complexion': KPHR*EBGS
'compliance': KPHRAOEUPBS
'compliant': KPHRAOEUPBT
'complicate': PHREUBGT
'complicated': PHREUBGD
'complication': KPHREUBGS
'complicit': KPHREUFT
'complied': KPHRAOEUD
'complies': KPHRAOEUS
'compliment': KPHREUPLT
'component': KPOEPT
'components': KPOEPBTS
'comport': KPORT
'compose': KPOES
'composer': KPOERS
'composing': KPOEFG
'composite': KPOFT
'composition': KPOGS
'compost': KPOEFT
'compote': KPOET
'compound': KPOUPBD
'comprehend': KPREPBD
'compress': KPRES
'compresses': KPRESZ
'compression': KPREGS
'compressive': KPR*EF
'comprise': KPRAOEUS
'comprised': KPRAOEUFD
'comprising': KPRAOEUFG
'compromise': KPROES
'compromised': KPROEFD
'compromising': KPROEFG
'comptroller': KRO*ERL
