Single-Stroke Briefs Part 27

'compulsion': KPULGS
'compunction': KPUPBGS
'compute': KPAOUT
'computed': KPAOUTD
'computers': KPAOURTS
'computing': KPAOUGT
'con': KOPB
'conceivably': KAOEFBL
'concentrate': SKRAEUT
'concentrated': SKRAEUTD
'concentrating': SKRAEUGT
'concentration': SKRAUGS
'concept': K*EPT
'conception': KEPGS
'concepts': K*EPS
'concern': KERP
'concerns': K-RPBS
'concert': KERT
'conch': KO*PBG
'conclusion': KHRAO*UGS
'concrete': KRAOEPBT
'condition': K-PB
'conditional': K-PBL
'conditionals': K-PBLS
'condominium': KPHEUPL
'conduct': KUBGT
'conduction': KUBGS
'cone': KOEPB
'cones': KOEPBS
'confer': K-FR
'conference': K-FPBS
'conferences': K-FRPBSZ
'conferment': K-FRPLT
'conferments': K-FRPLTS
'conferral': K-FRL
'conferred': K-FRD
'conferring': K-FRG
'confers': K-FRS
'confidence': K-F
'confidences': K-FDZ
'confident': K-FT
'confidential': K-FGS
'confidentiality': KAUFPBLT
'configuration': TKPWRAEUGS
'confirm': K-FRPL
'confirmation': K-FRPLGS
'conflict': TPHREUBGT
'conformation': KPHAEUGS
'conformational': KPHAEUPBL
'conformed': K-FRPLD
