Single-Stroke Briefs Part 30

'convince': KWEUPBS
'convulse': KWULS
'convulsion': KWULGS
'coo': KAO*
'cook': KAOBG
'cooler': KAORL
'cooling': KAOLG
'coon': KAOPB
'coop': KAOP
'cooperate': KAOPT
'cooperation': KAOPGS
'coordinate': KAORD
'cope': KOEP
'copied': KO*EPD
'copies': KO*EPS
'copped': KOPD
'copy': KO*EP
'coral': KORL
'corbel': KORBL
'cord': KORD
'core': KOR
'cork': KORBG
'corn': KORPB
'cornea': KOEURPB
'corneal': KOEURPBL
'coronal': KROEPBL
'coroner': KOERPB
'corporate': KORPT
'corporation': KORPGS
'corps': KOERP
'corpse': KORPS
'corral': KRAL
'correct': KREBGT
'correction': KREBGS
'correspond': KOER
'correspondence': KOERPBS
'corrode': KROED
'corrosion': KROEGS
'corrupt': KRUPT
'corruption': KRUPGS
'cot': KOT
'couch': KOUFP
'cough': KOF
'cougher': KAUFR
'could've': KO*UF
'couldn't': KOPBT
'counsel': KOUPB
'counselor': KOUPBL
'counter': KO*URPBT
'countries': KUPBTS
