Single-Stroke Briefs Part 31

'country': KREU
'county': KOEUPBT
'coup': KOUP
'coupe': KO*UP
'coupled': KUPLD
'coupling': KUPLG
'coupon': KAOUPB
'courage': KORPBLG
'courageous': KRAEURBS
'court': KORT
'courtroom': KRAOPL
'cousin': KUZ
'cove': KOEF
'coven': KOEFPB
'covenant': KOFPBT
'coverage': K*FRG
'covert': KO*FRT
'covet': KO*FT
'coving': KOEFG
'cow': KO*U
'coward': KOURD
'cower': KOUR
'cowl': KOUL
'cozy': KOEZ
'crab': KRAB
'crack': KRABG
'craft': KRAFT
'crag': KRAG
'cram': KRAPL
'crammed': KRAPLD
'cramp': KRA*PL
'crane': KRAEUPB
'cranial': KRA*EUL
'crank': KRAPBG
'crap': KRAP
'crash': KRARB
'crass': KRAS
'crate': KRAEUT
'crave': KRAEUF
'craven': KRAEUFPB
'craving': KRAFG
'craw': KRAU
'crawl': KRAUL
'craze': KRAEUZ
'creak': KRAEBG
'cream': KRAOEPL
'crease': KRAOES
'creased': KRAOEFD
'creasing': KRAOEFG
'create': KRAET
