Single-Stroke Briefs Part 35

'dates': TKAEUTS
'dating': TKAEUGT
'daub': TKAUB
'daughter-in-law': TKAURPBL
'daughters-in-law': TKAURPBLS
'daunt': TKAUPBT
'dauphin': TKAUFPB
'dawn': TKAUPB
'day-by-day': TKAEUBD
'day-to-day': TKAEUTD
'daylight': TKAEULT
'days': TKAEUS
'daytime': TKAEUPLT
'daze': TKAEZ
'de': TK*E
'deaf': TKEF
'deafen': TKEFPB
'deal': TKAOEL
'dealer': TKAOERL
'dealings': TKAOELGS
'dealt': TKELT
'dean': TKAOEPB
'dear': TKAER
'dearth': TK*ERT
'death': TK*T
'debate': TKPA*EUT
'debility': TKEBLT
'debt': TKET
'deceive': STKAOEF
'decelerate': TKHRERT
'deceleration': TKHRERGS
'decent': TKAOEPBT
'decision': SKEUGS
'deck': TKEBG
'deduct': TK*UBGT
'deduction': TKUBGS
'dee': TKAOE
'deeds': TKAOEDZ
'deem': TKAOEPL
'deeper': TKAOERP
'deer': TKAOER
'def': TK-F
'default': TKEFLT
'defect': TKEFBGT
'defection': TK*EFBGS
'defend': TKEFD
'defendant': TK-FD
'defendants': TK-FTS
'defense': TKEFS
'defer': KEFR
