Single-Stroke Briefs Part 36

'deference': TKEFRPBS
'deferent': TKEFRPBT
'deferment': TKEFRPLT
'deferral': TK-FRL
'deferred': TKEFRD
'deferring': TKAOEFRG
'deficiencies': TKAO*ERBS
'deficiency': TK*EURB
'deficient': TKEURBT
'deficit': TK*EFT
'definite': TKEFPBT
'definition': TKEFGS
'deform': TK-FRPL
'deformation': TK-FRPLGS
'deft': TKEFT
'degree': TKEG
'deign': TKAEUPB
'delay': TKHREU
'delete': TKHRAOET
'deleted': TKHRAOETD
'deletion': TKHRAOEGS
'deliberate': TKHREUBT
'deliberation': TKHREUBGS
'delicious': TKHREUGS
'delight': TKHRAOEUT
'delirious': TKHREURS
'delirium': TKHRAOERPL
'deliver': THREUFR
'deliverance': TKHR*EUFRPBS
'deliveries': TKHROEUFRS
'delivery': TKHROEUFR
'delude': TKHRAOUD
'deluge': TKHRAOUPBLG
'delusion': TKHRAOUGS
'deluxe': TKHRUBGS
'delve': TK*EFL
'demand': TKPHAPBD
'demean': TKPHAOEPB
'demeanor': TKPHAOERPB
'demented': TKPHEPBTD
'demerit': TKPHERT
'demise': TKPHAOEUS
'demonstrable': STRABL
'demotion': TKPHOEGS
'den': TKEPB
'dengue': TKEPBG
'denied': TKAOEPBD
'dense': TKEPBS
'dent': TKEPBT
'dental': TKEPBL
