Single-Stroke Briefs Part 42

'domed': TKOEPLD
'domestic': PHEFBG
'don't': TKOEPBT
'done': TKOPB
'dong': TKOPBG
'donor': TKORPB
'doom': TKAOPL
'door': TKAOR
'dope': TKOEP
'dork': TKORBG
'dorm': TKORPL
'dormant': TKORPLT
'dorsal': TKOFRL
'dot': TKOT
'dote': TKOET
'doth': TKA*UT
'double': TKUBL
'doubled': TKUBLD
'doubling': TKUBLG
'doubt': TKOUT
'douche': TKAOURB
'dough': TKOE
'dour': TKOUR
'douse': TKOUS
'dove': TKOF
'dowel': TKOUL
'dower': TKO*UR
'down': TKOUPB
'download': TKOUPBLD
'dowse': TKOUZ
'doze': TKOEZ
'dozen': TKOZ
'drab': TKRAB
'draft': TKRAFT
'dragged': TKRAGD
'drain': TKRAEUPB
'drainage': TKRAEPBG
'drake': TKRAEUBG
'dram': TKRAPL
'dramatic': TKRA*BG
'drank': TKRAPBG
'drape': TKRAEUP
'draped': TKRAEUPD
'draping': TKRAEUPG
'drastic': TKRAFBG
'drat': TKRAT
'draught': TRAFT
'drawer': TKRAUR
'drawl': TKRAUL
'drawn': TKRAUPB
