Single-Stroke Briefs Part 45

'gaseous': TKPWARBS
'gash': TKPWARB
'gasket': TKPWAFBGT
'gasp': TKPWAFP
'gastric': TKPWRA*BG
'gastrointestinal': TKPWREFL
'gate': TKPWAET
'gather': TKPWAER
'gauche': TKPWAURB
'gauge': TKPWAEPBLG
'gauged': TKPWAUPBLGD
'gaunt': TKPWAUPBT
'gauze': TKPWAUZ
'gavel': TKPWAFL
'gawk': TKPWAUBG
'gay': TKPWAEU
'gaze': TKPWAEZ
'gazing': TKPWAEUFG
'gear': TKPWAOER
'gee': SKWRAOE
'geek': TKPWAOEBG
'geese': TKPWAOES
'gel': SKWREL
'gem': SKWREPL
'gems': SKWREPLS
'gender': SKWRERPBD
'gene': SKWRAOEPB
'general': SKWREPBL
'generality': SKWREPBLT
'generals': SKWREPBS
'genetic': SKWRAO*EBG
'genial': SKWRAOEPBL
'gent': SKWREPBT
'gentle': SKWR*EPBLT
'gentleman': SKWRA*PL
'gentlemen': SKWR*EPL
'geographic': SKWRAOEFBG
'geography': SKWRAOEF
'geology': SKWROLG
'geometry': SKWROPLT
'gerbil': SKWRERBL
'geriatric': TKPWRABGT
'germ': SKWRERPL
'germs': SKWRERPLS
'gerunds': SKWRERPBDZ
'getting': TKPWEGT
'ghost': TKPWO*ES
'ghoul': TKPWOUL
'giant': SKWRAOEUPBT
'gibe': TKPWAOEUB
