Single-Stroke Briefs Part 47

'glop': TKPWHROP
'glorious': TKPWHRORS
'glory': TPWHROER
'gloss': TKPWHROS
'glottis': TKPWHROTS
'glove': TKPWHROF
'gloved': TKPWHROFD
'glow': TKPWHROE
'glower': TKPWHROUR
'glue': TKPWHRU
'glued': TKPWHRAOUD
'glum': TKPWHRUPL
'glut': TKPWHRUT
'glyph': TKPWHREUF
'gm': TKPW*PL
'gnarl': TPHA*RL
'gnash': TPHA*RB
'gnat': TPHA*T
'gnaw': TPHA*U
'gnome': TPHOEPL
'goad': TKPWOED
'goal': TKPWOEL
'goat': TKPWO*ET
'gob': TKPWOB
'gobbet': TKPWOBT
'gobble': TKPWOBL
'gobbling': TKPWOBLG
'goblet': TKPWOBLT
'god': TPWOD
'goes': TKPW-S
'gofer': TKPWO*EFR
'goggle': TKPWO*LG
'goiter': TKPWOEURT
'gold': TKPWOELD
'golf': TKPWOFL
'golfer': TKPWOFR
'gone': TKPWOPB
'gong': TKPWOPBG
'gonna': KPW*G
'goo': TKPWAO
'good': TKPWAOD
'good-bye': TKPWAOB
'good-looking': TKPWHRAOBG
'goodbye': TKPW*B
'goodwill': TKWEUL
'goof': TKPWAOF
'gook': TKPWAOBG
'goon': TKPWAOPB
'goop': TKPWAOP
'gopher': TKPWOEFR
