Single-Stroke Briefs Part 5

'appreciation': PRAOEGS
'appropriate': PROET
'appropriation': PROEPGS
'approximate': PR*BGS
'apt': APT
'aquarium': KWAEURPL
'arable': ARBL
'arc': ARBG
'arch': AFRPB
'architect': TREBT
'architecture': TREGS
'archival': KRAOEUFL
'archive': KRAO*EUF
'area': KWRA*ER
'aren't': R-PBT
'argue': ARG
'argued': ARGD
'argument': ARGT
'arguments': AERPLTS
'ark': A*RBG
'army': AERPL
'arraign': AEURPBG
'arraignment': RAEUPLT
'arranges': ARPBGS
'arrest': A*EURS
'arrhythmia': RA*EUPL
'arteries': RARTSZ
'artery': RART
'arthritic': THREUBG
'arthritis': RAO*EUTS
'article': ARL
'articles': ARLS
'artificial': TPHR*EURBL
'artist': TR-FT
'artistic': TR*EUFBG
'artists': TR-FTS
'ash': ARB
'ask': SK
'asker': SK-R
'askers': SK-RS
'aspect': SPAEBGT
'aspects': SPAEBGS
'ass': A*S
'assessment': SEFPLT
'asset': SA*ET
'assignment': SAOEUPLT
'assist': S*EUFT
'assistance': SEUFPBS
'assistant': SEUFPBT
'associate': SOERBT
