Single-Stroke Briefs Part 59

'instituted': STPHAOUTD
'institution': STPHAOUG
'instruct': TRUBGT
'instruction': STRUBGS
'instrument': STRUPLT
'instruments': STRAOUPLTS
'insulation': SHRAEUGS
'insulin': SHREUPB
'insurable': STPHURBL
'insurance': SHURPBS
'insure': STPHUR
'insured': STPHAOURD
'insuring': STPHAOURPBG
'int': SPW*
'intact': SPWABGT
'intake': SPWAEUBG
'integrity': TERGT
'intellect': SPWHREBGT
'intelligence': SPWEPBLGS
'intelligent': SKWR*EPBT
'intend': SPWEPBD
'intent': SPWEPBT
'intention': SPWEPBGS
'interact': SPWERBGT
'interaction': SPWRABGS
'intercourse': SPWROURS
'interest': TR
'interestingly': TR-LG
'interim': SPWERPL
'interment': SPWERPLT
'intern': SPWERPB
'internal': SPWERPBL
'international': TPHA*EL
'internet': STPH*ET
'interpret': TERP
'interpretation': SPWERPGS
'interpreter': TRER
'interpreters': TRERS
'interrogate': SPWERGT
'interrogation': SPWERGS
'interrogatory': SPWROEUG
'interrupt': SPWRUPT
'interruption': SPWRUPGS
'intersect': SPWREBGT
'intersection': SPWR*EBGS
'intestinal': STEUPBL
'intestine': STEUPB
'into': TPHAO
'intone': SPWOEPB
'intramuscular': TPHRUFBG
