Single-Stroke Briefs Part 60

'intraocular': KHRO*RBG
'intrepid': SPWREPD
'intrigue': SPWRAOEG
'intro': SPWROE
'introduce': TROU
'introduced': TROUD
'introducing': TROUG
'introduction': TROUGS
'introvert': SPWRO*EFRT
'intrude': SPWRAOUD
'intrusion': SPWRAOUGS
'intuition': TPHAOGS
'inventor': SROERPBT
'inventory': SROERPB
'inverse': WERS
'inversion': WERGS
'inverting': WERGT
'invest': SREF
'investigate': SREGT
'investigated': SREGTD
'investigation': SREGS
'investigator': SROERGT
'investment': SREFPT
'investor': SREFR
'involve': SROF
'involved': SROFD
'involvement': SROFPLT
'involving': SROFG
'ion': O*EUPB
'ire': AOEUR
'iris': AOEURS
'irk': EURBG
'iron': AOEURPB
'irrelevant': EURT
'island': AOEULD
'isle': AO*EULS
'islet': AOEULT
'isn't': S-PBT
'it'd': T*D
'it'll': T-L
'it's': T*S
'italics': THRA*BGS
'itch': EUFP
'item': AOEUPLT
'items': AOEUPLTS
'jab': SKWRAB
'jabbed': SKWRABD
'jabs': SKWRABS
'jack': SKWRABG
'jackets': SKWRABGTS
