Single-Stroke Briefs Part 63

'king': KEUPBG
'kink': K*EUPBG
'kip': KEUP
'kit': KEUT
'kitchen': K-FP
'kite': KAOEUT
'kitsch': KEUFP
'kludge': KHRUPBLG
'klutz': KHRUTS
'knack': TPHABG
'knave': TPHA*EUF
'knead': TPHAO*ED
'kneel': TPHAOEL
'knell': TPH*EL
'knelt': TPHELT
'knife': TPHAOEUF
'knifed': TPHAOEUFD
'knifing': TPHAOEUFG
'knight': TPHAO*EUT
'knighthood': TPHAO*EUGTD
'knit': TPHEUT
'knob': TPHOB
'knoll': TPHOEL
'knot': TPHO*T
'notification': TPHOEFBGS
'notified': TPHOEUFD
'notify': TPHOEUF
'noting': TPHO*EGT
'notion': TPHOEGS
'noun': TPHOUPB
'nourish': TPHURB
'novel': TPHOFL
'novelty': TPHOFLT
'novice': TPHOFS
'now': TPHOU
'noxious': TPHORBS
'nu': TPH*U
'nuance': TPHAOUPBS
'nub': TPHUB
'nucleotide': TPHRAOEUD
'nucleus': TPHAO*UBGS
'nude': TPHAOUD
'nudge': TPHUPBLG
'nugget': TPHUGT
'nuke': TPHAOUBG
'null': TPHUL
'number': TPHUPL
'numerous': TPHAOUPLS
'nun': TPHUPB
'nursing': TPHURBGS
