Single-Stroke Briefs Part 65

'officials': TPEURBLS
'oft': O*FT
'often': OFPB
'ogre': OERG
'ohm': OEPL
'oil': OEUL
'oils': OEULS
'oink': O*EUPBG
'ointment': OEUPLT
'okay': OBG
'older': OERLD
'om': OPL
'omit': OEPLT
'once': WUPBS
'one': WUPB
'one's': W*UPBS
'one-dimensional': 1*D
'onto': OEPBT
'ooh': AO*
'oops': AOPS
'ooze': AOZ
'oozing': AOFG
'op': OP
'openings': OEPGS
'operate': OERPT
'operated': PRAEUTD
'operating': PRAEUGT
'operation': OERPGS
'operator': PROERT
'ophthalmic': THA*BG
'opinion': P-PB
'opinionated': P-PBD
'opportunity': TUPBT
'oppose': OPZ
'opposed': PO*EFD
'opt': OPT
'option': OPGS
'oral': ORL
'orange': ORPBG
'orb': O*RB
'orbit': ORBT
'order': ORD
'ordinance': ORPBS
'ordinarily': O*ERLD
'ordinary': OERD
'ore': O*ER
'organ': O*RPBG
'organelle': TKPWR*EL
'organelles': TKPWRELS
'organic': TKPWRO*PBG
