Single-Stroke Briefs Part 67

'pack': PABG
'package': PAPBLG
'packaged': PAPBLGD
'packet': PABGT
'packets': PABGTS
'pact': PA*BGT
'pad': PAD
'page': PAEUPBLG
'pail': PAEUL
'pain': PAEUPB
'painful': PAEUFL
'painless': PAEUPBLS
'paint': PAEUPT
'painter': PA*EURPBT
'paintings': PAEUPBGS
'paints': PAEUPBTS
'pair': PAEUR
'pal': PAL
'palate': PALT
'palatial': PHRAEURBL
'palette': PHRET
'pan': PAPB
'pancreas': KRAO*EPS
'pane': PAEPB
'panel': PAPBL
'panels': PAPBLS
'pang': PAPBG
'panic': PA*PBG
'panned': PAPBD
'pant': PAPBT
'pap': PAP
'par': PAR
'parade': PRAD
'paragraph': PRAF
'paragraphs': PRAFS
'parallel': PHREL
'paralysis': PRAELS
'parameter': PRAPLT
'paraphernalia': PAEURPB
'parasympathetic': PR*RBG
'parch': PAFRPB
'pardon': PARD
'pare': PA*ER
'parent': PARPBT
'parietal': PRAO*EULT
'parity': PAEURT
'park': PARBG
'parliament': PA*RPLT
'parole': PAERL
'paroled': PROELD
