Single-Stroke Briefs Part 75

'posit': POFT
'position': POGS
'positive': PEUF
'possess': PESZ
'possession': P*EGS
'possibility': POBT
'possibly': POBL
'post': PO*ES
'post-processing': POEUFG
'poster': POEFRT
'posterior': PROEFRT
'posters': POEFRTS
'postoperative': PROFPT
'pot': POT
'potassium': PAFPL
'potential': PEPBL
'potion': POEGS
'pots': POTS
'pouch': POUFP
'pounce': POUPBS
'pound': POUPBD
'pour': POR
'pours': PAOURS
'pout': POUT
'poverty': POFRT
'pow': POU
'powder': PO*URD
'powerful': POURL
'powerless': POURLS
'pox': POBGS
'practice': PRA*BS
'practitioner': PRER
'praise': PRAEUS
'praised': PRA*EUFD
'prance': PRAPBS
'prang': PRAPBG
'prank': PRA*PBG
'prawn': PRAUPB
'pray': PRAEU
'prayer': PRAEUR
'preach': PRAOEFP
'preacher': PRAO*EFP
'preaching': PRAOEFPG
'precept': PREPT
'preceptor': PRERPT
'precinct': PREUPBGT
'precious': PRERBS
'precipitate': PR*EUPT
'precipitation': PR*EUPGS
'precisely': PRAOEUFLS
