Single-Stroke Briefs Part 78

'prod': PROD
'produce': PROU
'produced': PRO*UD
'producer': PROUR
'producers': PROURS
'producing': PROUG
'product': PROUBT
'production': PRUBGS
'prof': PROEF
'profession': PREGS
'professional': PREPBL
'professor': PROEFR
'professors': PROEFRS
'proffer': PROFR
'profile': PROEFL
'profiled': PROEUFLD
'profiling': PROEUFLG
'profit': PROFT
'prognosis': P-G
'program': PRAPL
'programmed': PRAPLD
'programmer': PRARPL
'programming': PRAPLG
'progress': PROG
'progresses': PROGZ
'progression': PROGS
'prohibit': PREUBT
'prohibition': PROEUBGS
'project': PROPBL
'projection': PROPBGS
'prom': PROPL
'promise': PROPLS
'promote': PROEPLT
'promoted': PROEPLTD
'promotion': PROEGS
'prompt': PROPLT
'prone': PROEPB
'prong': PROPBG
'pronounce': PROUPBS
'pronunciation': PROUPBGS
'proof': PRAOF
'proofer': PRAOFR
'prop': PROP
'proper': PROR
'property': PROT
'prophet': PRO*FT
'proponent': PROEPBT
'proportion': PORPGS
'proposal': PROEL
'propose': PROEP
