Single-Stroke Briefs Part 81

'qualifiers': KW-FRS
'qualify': KW-F
'quality': KWALT
'qualm': KWAUPL
'quantity': KWAPBT
'quarrel': KWARL
'quart': KWART
'quartz': KWARTS
'quaver': KWA*EUFR
'queen': KWAOEPB
'queer': KWAOER
'quell': KWEL
'quench': KWEFRPB
'queries': KWAO*ERS
'query': KW*ER
'quest': KW*ES
'question': KWE
'queue': KAO*U
'queueing': KAOUG
'quibble': KWEUBL
'quibbled': KWEUBLD
'quibbling': KWEUBLG
'quiche': KAOERB
'quicker': KW*EURBG
'quid': KWEUD
'quieter': KWAOEURT
'quill': KWEUL
'quilt': KWEULT
'quip': KW*EUP
'quire': KWAO*EUR
'quirk': KWEURB
'quit': KWEUT
'quite': KWAOEUT
'quiver': KWEUFR
'quiz': KWUZ
'quizzes': KWEUSZ
'quo': KWOE
'quorum': KWORPL
'quotation': KWOGS
'quote': KWOET
'quoted': KWOETD
'quotient': KWOERBT
'quoting': KWOEGT
'rabbit': RABT
'rabble': RABL
'rabid': RABD
'race': RAEUS
'racer': RAEUFR
'racial': RAEURBL
'racing': RAEFG
