Single-Stroke Briefs Part 84

'recourse': RAOERBGS
'recover': ROFR
'recoveries': ROEUFRS
'recovery': ROEUFR
'recurrent': RAOURPBT
'recycle': ROEUBG
'recycled': ROEUBGD
'reduce': RAOUS
'reduced': RAOUFD
'reducing': RAOUFG
'reduct': RUBGT
'reduction': RUBGS
'redundant': R*UPBT
'reed': RAOED
'reef': RAOEF
'reefer': RAOEFR
'reek': RAOEBG
'reel': RAOEL
'ref': R*EF
'refer': REFR
'reference': REFPBS
'referent': REFRPBT
'referential': REFRPBL
'referral': REFRL
'referred': REFRD
'referring': REFG
'reflect': TPHREBGT
'reform': RORPL
'reformation': R-FRPLGS
'reformed': R-FRPLD
'refract': TPRAEBGT
'refraction': TPRAEBGS
'refractive': TPRAEF
'refractory': TPRAERBGT
'refresh': RERB
'refrigerate': TPREUGT
'refrigerated': TPREUPBGTD
'refrigerator': TPR*EUPBLG
'refused': RAO*UFD
'refusing': RAO*UFG
'regard': RARD
'regardless': RARLDZ
'regimen': TKPWREPL
'region': RAOEGS
'regional': RAOELGS
'registration': REGS
'regs': R*EGS
'regular': REG
'regularity': REGT
'regulate': RELGT
