Single-Stroke Briefs Part 88

'rook': RAOBG
'roomed': RAOPLD
'roost': RAO*S
'root': RAOT
'rope': ROEP
'roped': ROEPD
'roping': ROEPG
'rot': ROT
'rote': ROET
'rotor': ROERT
'rouge': RAOUPBLG
'rough': RUF
'roughage': RUFPBLG
'roughen': RUFPB
'rougher': RUFR
'roughness': RUFPBS
'rouse': ROUZ
'rout': RO*UT
'route': ROUT
'router': ROURT
'rove': ROEF
'rover': ROEFR
'roving': ROFG
'royal': ROEUL
'royalty': ROEULT
'rubbed': RUBD
'rubber': RAOURB
'rubbing': RUBG
'rubble': RUBL
'ruble': RAOUBL
'rude': RAOUD
'rue': RAO
'rueful': RAOUFL
'ruff': R*UF
'ruffle': RUFL
'rug': RUG
'rugged': RUGD
'ruin': RAOUPB
'rule': RAOUL
'ruled': RAOULD
'ruler': RAO*URL
'ruling': RAOULG
'rulings': RAOULGS
'rum': RUPL
'rumor': RAOURPL
'rump': R*UPL
'rumple': RUFRPL
'rune': RAO*UPB
'rung': RUPBG
'runner': RAOURPB
