Single-Stroke Briefs Part 9

'beauty': PWAOUT
'beaux': PWO*EZ
'beaver': PWAOEFR
'became': PWAEUPL
'because': PWAU
'become': PW-BG
'bed': PWED
'bedroom': PW-PL
'bee': PWAOE
'beech': PWAOEFP
'beef': PWAOEF
'been': PW-PB
'beep': PWAOEP
'beeping': PWAOEPG
'beer': PWAOER
'beers': PWAOERS
'beet': PWAOET
'beetle': PWAO*ELT
'before': PW-F
'beforehand': PW-FRPBD
'beg': PWEG
'began': TKPWAPB
'begged': PWEGD
'begin': STKWEUPB
'beginnings': TKPWEUPBGS
'begun': TKPWUPB
'behalf': PWAF
'behave': PWAEUF
'behaved': PWHAEUFD
'behaving': PWHAEUFG
'behavior': PWAEUFR
'behavioral': PWAEUFRL
'behind': HEUPBD
'beige': PWAEUPBLG
'belch': PWELG
'belief': PWHRAOEF
'believability': PWHRAO*EFBLT
'believable': PWHREFBL
'believe': PWHREF
'believed': PWHREFD
'believer': PWHREFR
'believing': PWHREFG
'bell': PWEL
'belle': PW*EL
'belong': PWHROPG
'beloved': PWHROFD
'below': PWHRO
'belt': PWELT
'bench': PWEFRPB
'bend': PWEPBD
