Single-Stroke Briefs Part 90

'satisfactory': STPOEUR
'satisfied': SAED
'satisfies': SAES
'satisfy': SAEF
'satyr': SAEURT
'sauce': SAUS
'sausage': SAUFPBLG
'savage': SA*FPBLG
'saved': SAFD
'saver': SAFR
'saving': SAFG
'savor': SA*FR
'sawed': SAUD
'sawn': SAUPB
'sax': SABGS
'sayer': SAEUR
'scab': SKAB
'scabbed': SKABD
'scabbing': SKABG
'scaffold': SKAFLD
'scald': SKALD
'scale': SKAEL
'scaled': SKAEULD
'scaling': SKAEULG
'scalp': SKAP
'scam': SKA*PL
'scamp': SKAFRP
'scan': SKAPB
'scanned': SKAPBD
'scanners': SKARPBS
'scanning': SKAPBG
'scant': SKAPBT
'scar': SKAR
'scarce': SKAEURS
'scare': SKAEUR
'scarf': SKAFR
'scarlet': SKARLT
'scarred': SKARD
'scarring': SKARG
'scarves': SKRAFRS
'scary': SKAER
'scat': SKAT
'scathe': SKA*EUT
'scatter': SKAERT
'scavenge': SKA*FPBG
'scenario': SPHOEUR
'scent': SKEPBT
'schedule': SKED
'schema': SKOEUPL
'scheme': SKAOEPL
