Single-Stroke Briefs Part 91

'schemed': SKAOEPLD
'scheming': SKAOEPLG
'schilling': SH*EULG
'schizophrenia': SKRAO*EPB
'schizophrenic': SKRAO*EBG
'schlock': SHROBG
'schmaltz': SPHALTS
'schmuck': SPH*UBG
'scholar': SKHRAR
'schoolboy': SKOEU
'schoolgirl': SKEURL
'schoolhouse': SKOUS
'schoolteacher': SKAOEFRP
'schoolwork': SKAORBG
'science': SKRAOEUPBS
'scientific': SKEUFBG
'scoff': SKOF
'scold': SKOLD
'sconce': SKOPBS
'scone': SKOEPB
'scoop': SKAOP
'scoot': SKAOT
'scope': SKOEP
'scoped': SKOEPD
'scoping': SKOEPG
'scorch': SKOFRPB
'score': SKOR
'scored': SKORD
'scoring': SKORG
'scorn': SKORPB
'scotch': SKOFP
'scour': SKOUR
'scourge': SKORPBLG
'scout': SKOUT
'scow': SKOU
'scowl': SKOUL
'scrabble': SKRABL
'scram': SKRA*PL
'scrap': SKRAP
'scrape': SKRAEUP
'scrapped': SKRAPD
'scrapping': SKRAPG
'scratch': SKRAFP
'scrawl': SKRAUL
'scream': SKRAOEPL
'screech': SKRAOEFP
'screeching': SKRAOEFPG
'screed': SKRAOED
'screw': SKRAOU
'screwing': SKRAOUG
