Single-Stroke Briefs Part 96

'shelved': SHEFLD
'shelving': SHEFLG
'sher': SHER
'sherbet': SHERBT
'sheriff': SHR-F
'shh': SH
'shield': SHAOELD
'shift': SHEUFT
'shill': SHEUL
'shim': SHEUPL
'shin': SHEUPB
'shine': SHAOEUPB
'shiny': SHOEUPB
'ship': SHEUP
'shipment': SHEUPLT
'shipped': SHEUPD
'shipping': SHEUPG
'shire': SHAOEUR
'shirk': SHEURBG
'shirt': SHEURT
'shit': SHEUT
'shiver': SHEUFR
'shoal': SHOEL
'shock': SHOBG
'shone': SHO*EPB
'shoo': SHAO
'shook': SHAOBG
'shooter': SHAORT
'shoplifter': SHREUFRT
'shopped': SHOPD
'shopping': SHOPG
'shore': SHOR
'shored': SHORD
'shoring': SHORG
'shorn': SHORPB
'short': SHORT
'short-term': SHERPL
'shorten': SHO*RPB
'shortened': SHORPBD
'shot': SHOT
'shotgun': SH-G
'shoulder': SHOURLD
'shouldn't': SHOPBT
'shout': SHOUT
'shoved': SHOFD
'shovel': SHOFL
'shover': SHOFR
'shoving': SHOFG
'show': SHOE
'shower': SHOUR
