Single-Stroke Briefs Part 97

'showered': SHOURD
'showering': SHOURG
'shown': SHOEPB
'shrank': SHRA*PBG
'shred': SHR*ED
'shrew': SHRAOU
'shrewd': SHRAOUD
'shriek': SHRAO*EBG
'shrill': SHREUL
'shrimp': SHR*EUPL
'shrine': SHRAOEUPB
'shrink': SHR*EUPBG
'shrivel': SHREUFL
'shroud': SHROUD
'shrub': SHRUB
'shrugged': SHR*UGD
'shrunk': SHR*UPBG
'shtick': STHEUBG
'shuck': SHUBG
'shuffle': SHUFL
'shuffled': SHUFLD
'shuffling': SHUFLG
'shun': SHUPB
'shunt': SHUPBT
'shush': SHURB
'shutter': SHURT
'shutting': SHUGT
'shuttle': SH*ULT
'shy': SHAOEU
'sibling': SEUBLG
'sic': S*EUBG
'siege': SAOEPBLG
'sieve': SEUF
'sift': SEUFT
'sight': SAOEUT
'signal': STPHAL
'signature': SEUGT
'significance': SEUGS
'significant': SEUG
'silk': S*EULG
'sill': SEUL
'silt': SEULT
'similar': SEUPL
'similarity': SHRART
'simplicity': SPHREUFT
'simultaneous': KPHULT
'sin': SEUPB
'since': SEUPBS
'sine': SAO*EUPB
'sing': SEUPBG
