Single-Stroke Briefs Part 98

'singer': SEURPBG
'single': SEUPBLG
'sink': S*EUPBG
'sinners': SEURPBS
'sip': SEUP
'siphon': SAOEUFPB
'sire': SAOEUR
'siren': SAOEURPB
'sis': SEUS
'sister': ST-R
'sister-in-law': ST-RPBL
'sit': SEUT
'site': SAO*EUT
'sitting': SAO*EGT
'situate': SEUFPT
'situated': SWAEUTD
'situation': SWAEUGS
'sixteen': STAOEPB
'sixteenth': SKAOEPBT
'sixth': S*BGS
'sixty': SEUBGT
'sizing': SAOEUFG
'skate': SKAEUT
'skeet': SKAOET
'skein': SKAEUPB
'sketch': SKEFP
'skew': SKAOU
'skewer': SKAO*UR
'ski': SKEU
'skid': SKEUD
'skier': SKAOER
'skiff': SKEUF
'skill': SKEUL
'skillet': SKEULT
'skim': SKEUPL
'skimmed': SKEUPLD
'skimming': SKEUPLG
'skimp': SK*EUPL
'skin': SKEUPB
'skinned': SKEUPBD
'skinning': SKEUPBG
'skip': SKEUP
'skipped': SKEUPD
'skipping': SKEUPG
'skirt': SKEURT
'skit': SKEUT
'skoal': SKOEL
'skull': SKUL
'skunk': SK*UPBG
'skylight': SKAOEULGT
