JavaScript keywords

'await': A/WAEUT
'break': PWRAEBG
'case': KAEUS
'catch': KAFP
'class': KHRAS
'const': KO*PBS
'continue': T-PB
'debugger': TKE/PWURG
'default': TKEFLT
'delete': TKHRAOET
'do': TKO
'else': ELS
'enum': AOE/TPHUPL
'export': EBGS/PORT
'extends': EBGS/TEPBDZ
'finally': TPHRAOEUPBL
'for': TPOR
'function': TPUPBGS
'if': TP
'implements': EUPL/PHREPLTS
'import': EUPL/PORT
'in': TPH
'instanceof': STPHAFPBS
'interface': EUPBT/TPAEUS
'let': HRET
'new': TPHU
'package': PAPBLG
'private': PRAOEUFT
'protected': PREBGTD
'public': PHREUBG
'return': RURPB
'static': STA*BG
'super': SPER
'switch': SWEUFP
'this': TH
'throw': THROE
'try': TREU
'typeof': TAOEUFP
'var': SRAR
'void': SROEUD
'while': WHAOEUL
'with': W
'yield': KWRAOELD
warning_message=Hint: use the relevant tech dictionary
