Two-word briefs She

'she been': SHEB
'she believe': SHEBL
'she believed': SHEBLD
'she believes': SHEBLS
'she can': SHEBG
'she could': SHEBGD
'she ever': SHEFR
'she felt': SHEFLT
'she has': SHEZ
'she is': SHES
'she recalled': SHERLD
'she recalls': SHERLS
'she recollected': SHERBGD
'she recollects': SHERBGS
'she remembered': SHERPLD
'she remembers': SHERPLS
'she said': SHEBS
'she say': SHEBZ
'she says': SHEBSZ
'she shall': SHERB
'she should': SHERBD
'she think': SHEPBG
'she thinks': SHEPBGS
'she understand': SHEPBDZ
'she want': SHEPT
'she wanted': SHEPTD
'she wants': SHEPTS
'she was': SHEFS
'she were': SHERP
'she would': SHELD
