And Part 1

'back and': SKPWABG
'bacteria and': SKPWAOERBGT
'bicycle and': SKPWOEUBG
'boat and': SKPWOET
'children and': SKPHEURPB
'colleagues and': SKPHRAOEGS
'columns and': SKPHRUPLS
'compound and': SKPOUPBD
'easy and': SKPEZ
'end and': SKPEPBD
'excited and': SKPAOEUTD
'hand and': SKPHAPBD
'heaven and': SKPHEFPB
'inner and': SKPEURPB
'listen and': SKPHREUFPB
'menu and': SKPHAOUPB
'monitor and': SKPHORPBT
'morning and': SKPHORPBG
'mystery and': SKPHOEUFRT
'object and': SKPOBT
'off and': SKPOF
'oils and': SKPOEULS
'old and': SKPOELD
'on and': SKPOPB
'one and': SKPWUPB
'out and': SKPOUT
'over and': SKPOEFR
'pages and': SKPAEUPBLGS
'person and': SKPERPB
'point and': SKPOEUPBT
notice_spaces=true
