UX design vocabulary

'UX': UBGS
'user experience': AOURS/SPAOERPBS
'design': STKAOEUPB
'research': REFRPB
'experience': SPAOERPBS
'information': TPH-FGS
'architecture': TREBGS
'interaction': TPHRABGS
'interactivity': EUPBT/TAEFT
'microinteraction': PHAOEURBG/SPWRABGS
'microcopy': PHAOEURBG/KO*EP
'prototype': PROET/TAOEUP
'map': PHAP
'model': PHOLD
'iterate': EUT/RAEUT
'iterative': EUT/RAEUT/TEUF
'heuristic': HAOUR/EUS/TEUBG
'low-fidelity': HROE/TPEUD/ELT
'high-fidelity': HAOEU/TPEUD/ELT
'graybox': TKPWRAEU/PWOBGS
'unsubscribe': UPB/SUB/SKRAOEUB
'nav': TPHA*F
'dropdown': TKROP/SKWROUPB
'wireframe': WAOEUR/TPRAEUPL
'workspace': WORBG/TK-LS/SPAEUS
'mobile': PHOEBL
'tablet': TABLT
'desktop': TKEFBG/TOP
'monochrome': PHOPB/KROEPL
'en dash': EPB/TKARB
'em dash': EPL/TKARB
'pilcrow': PEUL/KROE
'superscript': SAOUP/SKREUPT
'subscript': SAUB/SKREUPT
'scrobble': SKROBL
'feather': TP*ERT
'iPhone': TPO*EPB
'affinity': A/TPEUPBT
'agile': APBLG/AOEUL
'analytics': APB/HREUT/EUBG/-S
'analysis': AEPBLS
'comparative': KPAEUR/TEUF
'contextual': KEGT/WAL
'content': KAUPBT
'audit': AUTD
'enquiry': EPB/KWAOEUR/KWREU
'Google': TKPWAOG/*L
'Apple': A*EPL/A*EPL
'Amazon': APL/SO*PB
'.com': KROPL
'.org': TKORG
'alpha': AL/TPA
'beta': PWOEUT
'branding': PWRAPBD/-G
'card': KARD
'sorting': SORT/-G
'mood': PHAOD
'board': PWAORD
'personas': PERPB/KWRA/-S
'progressive': PROG/EUF
'disclosure': TKEUS/KHROES/AOUR
'responsive': SPO*F
'scenario': SPHOEUR
'storyboard': STAOR/PWAORD
'strategy': STRAPBLG
'sitemap': SAO*EUT/PHAP
'stakeholder': STAEUBG/HOERLD
'usability': AOUBLT
'survey': SOEUF
'engineering': EPBG/TPHAOERG
'user-centered': AOURS/H-PB/STR-D
'journey': SKWRURPB
'feedback': TPAOED/PWABG
'test': TEFT
'testing': TEFG
'interview': EUPBT/SRAOU
'visual': SREUFL
'workflow': WORBG/TPHROE
'affordance': AFRD/APBS
'animation': APB/PHAEUGS
'auto-complete': O*EUT/H-PB/KPHRAOET
'browser': PWROURS
'link': HR*EUPBG
'validation': SRAL/TKAEUGS
'verification': SRER/TPEUBGS
'destination': TKEFT/TPHAEUGS
'download': TKOUPBLD
'expert': SPERT
'font': TPOPBT
'readability': RAED/-BLT
'product': PROUBGT
'creative': KRAOEF
'specification': SPEFBGS
'director': TKROR
'screen': SKRAOEPB
'mockup': PHOBG/SKWRUP
'identity': AOEUTD
'form': TPORPL
'frame': TPRAEUPL
'function': TPUBGS
'Gestalt': TKPWE/STALT
'global': TKPWHROEBL
'navigation': TPHAF/TKPWAEUGS
'elements': HREPLTS
'graceful': TKPWRAEUS/-FL
'degradation': TKEG/TKAEUGS
'graphic': TKPWRAFBG
'user': AOURS
'grid': TKPWREUD
'hierarchical': HAOEUR/ARBG/K-L
'hover': HOFR
'touch': TUFP
'tooltip': TAOL/TEUP
'Photoshop': TPOET/SHOP
'Sketch': SKEFP
'Illustrator': EUL/TRAEURT
'icon': AOEUPBG
'hyperlink': HAOEURP/HR*EUPBG
'image': EUPBLG
'placeholder': PHRAEUS/HO*ERLD
'internationalization': TPHA*EL/SA*EUGS
'localization': HROEL/SA*EUGS
'kerning': K*ERPB/-G
'tittle': TEUT/*L
'typography': TAOEUP/TKPWRAEF
'terminal': TERPL/TPHAL
'bar': PWAR
'tracking': TRABG/-G
'path': PA*T
'consist': KAO
'consists': KAOS
'consist of': KAOF
'consists of': KAOFS
'consisted of': KAOFD
'consisting of': KAOFG
'consistent': KAOPBT
'consistently': KAOPBLT
'consistency': KAOPBS
'clarity': KHRAEURT
'rapid': RAPD
'scroll': SKROL
'serif': SER/EUF
'menu': PHAOUPB
'tab': TAB
'audience': AUPBS
'task': TAFBG
'thumbnail': THUPL/TPHAEUL
'URL': URL
'white': WHAOEUT
'space': SPAEUS
'within-page': W-PB H-PB PAEUPBLG
'modal': PHOE/TKAL
'leading': HRAEGD
'learnability': HRERPB/-BLT
'metadata': PHO*EUT/TKAET
'flow': TPHROE
'pagination': PAG/TPHAEUGS
'interface': EUPBT/TPAEUS
'color': KROR
'conversion': KERGS
'concept': K*EPT
'resolution': RES/HRAOUGS
'digital': TK*EUL
'motion': PHOEGS
'chunking': KH*UPG/-G
'cognitive': KOG/TEUF
'evaluation': *EFLGS
'forgiving': TPAURG/-G
'signifier': SEUPBG/TPAOEUR
'pattern': PAERPB
'onboarding': AUPB/PWAORD/-G
'undo': UPB/TKO
'autosave': A*UT/SAF
'error': ROEUR
'gamification': TKPWAEUPL/TPAEUBGS
'taxonomy': TABGS/OPB/PHEU
'artboard': ART/PWAORD
'favicon': TPAF/KOPB
'nav item': TPHA*F/AOEUT/*EP
'connectivity': KEBGT/T*EUFT
