Common Words

'a': AEU
'able': ABL
'about': PW
'above': PWOF
'accept': SEP
'across': KRAOS
'act': ABGT
'actually': TAOULT
'add': AD
'admit': TKPHEUT
'afraid': A/TPRAEUD
'after': AF
'afternoon': AFPB
'again': TKPWEPB
'against': TKPWEPBS
'age': AEUPBLG
'ago': AG
'agree': TKPWRAE
'ah': HA*E
'ahead': A/HED
'air': AEUR
'all': AUL
'allow': HROU
'almost': HR-PL
'alone': A/HROEPB
'along': HRAOPBG
'already': HR-R
'also': HR-S
'although': HR*T
'always': AULS
'am': APL
'amaze': A/PHAEUZ
'an': APB
'and': SKP
'anger': ARPBG
'angry': APBG/REU
'animal': PHAPBL
'annoy': A/TPHOEU
'another': TPHOER
'answer': AEPBS
'any': TPHEU
'anymore': TPHEUPL
'anyone': TPHEUPB
'anything': TPHEUG
'anyway': TPHAE
'apartment': ARPLT
'apparently': A/PARPBLT
'appear': A/PAOER
'approach': PROEFP
'are': R
'area': KWRA*ER
'aren't': R-PBT
'arm': ARPL
'around': ARPBD
'arrive': A/RAOEUF
'as': AS
'ask': SK
'asleep': A/SHRAOEP
'ass': A*S
'at': AT
'attack': A/TABG
'attempt': A/TEPLT
'attention': TAEPBGS
'aunt': AUPBT
'avoid': A/SROEUD
'away': WA*EU
'baby': PWAEB
'back': PWABG
'bad': PWAD
'bag': PWAG
'ball': PWAUL
'band': PWAPBD
'bar': PWAR
'barely': PWAEURL
'bathroom': PWR-PL
'be': -B
'beat': PWAET
'beautiful': PWAOUFL
'became': PWAEUPL
'because': PWAU
'become': PW-BG
'bed': PWED
'bedroom': PW-PL
'been': PW-PB
'before': PW-FR
'began': TKPWAPB
'begin': TKPWEUPB
'behind': HEUPBD
'believe': PWHREF
'bell': PWEL
'beside': PWE/SAOEUD
'besides': PW-DZ
'best': PWEFT
'better': PWOERT
'between': TWAOEPB
'big': PWEUG
'bit': PWEUT
'bite': PWAOEUT
'black': PWHRABG
'blink': PWHR*EUPBG
'block': PWHROBG
'blonde': PWHRO*PBD
'blood': PWHRAOD
'blue': PWHRU
'blush': PWHRURB
'body': PWO*ED
'book': PWAOBG
'bore': PWOR
'both': PWO*T
'bother': PWOER
'bottle': PWO*LT
'bottom': PWOPLT
'box': PWOBGS
'boy': PWOEU
'boyfriend': PWOEUF
'brain': PWRAEUPB
'break': PWRAEBG
'breakfast': PWR-FT
'breath': PWR*ET
'breathe': PWRAO*ET
'bright': PWRAOEUT
'bring': PWREU
'broke': PWROEBG
'broken': PWROEPB
'brother': PWROER
'brought': PWRAUT
'brown': PWROUPB
'brush': PWRURB
'build': PWEULD
'burn': PWURPB
'burst': PWUFRT
'bus': PWUS
'business': PWEUS
'busy': PW-Z
'but': PWUT
'buy': PWAOEU
'by': PWEU
'call': KAUL
'calm': KAUPL
'came': KAEUPL
'can': K
'can't': K-PBT
'car': KAR
'card': KARD
'care': KAEUR
'carefully': KA*EUFL
'carry': KAER
'case': KAEUS
'cat': KAT
'catch': KAFP
'caught': KAUT
'cause': KAUS
'cell': KREL
'chair': KHAEUR
'chance': KHAPBS
'change': KHAEUPBG
'chase': KHAEUS
