Emily's symbols

'↑': SKWHAOFPBL
'←': SKWHAOEFPBL
'→': SKWHAOUFPBL
'↓': SKWHAOEUFPBL
'!': SKWHAOFR
'¬': SKWHAOEFR
'↦': SKWHAOUFR
'¡': SKWHAOEUFR
'"': SKWHAOFP
'“': SKWHAOEFP
'”': SKWHAOUFP
'„': SKWHAOEUFP
'#': SKWHAOFRLG
'©': SKWHAOEFRLG
'®': SKWHAOUFRLG
'™': SKWHAOEUFRLG
'$': SKWHAORPBL
'¥': SKWHAOERPBL
'€': SKWHAOURPBL
'£': SKWHAOEURPBL
'%': SKWHAOFRPB
'‰': SKWHAOEFRPB
'‱': SKWHAOUFRPB
'φ': SKWHAOEUFRPB
'&': SKWHAOFBG
'∩': SKWHAOEFBG
'∧': SKWHAOUFBG
'∈': SKWHAOEUFBG
''': SKWHAOF
'‘': SKWHAOEF
'’': SKWHAOUF
'‚': SKWHAOEUF
'(': SKWHAOFPL
'[': SKWHAOEFPL
'<': SKWHAOUFPL
'{': SKWHAOEUFPL
')': SKWHAORBG
']': SKWHAOERBG
'>': SKWHAOURBG
'}': SKWHAOEURBG
'*': SKWHAOL
'∏': SKWHAOEL
'§': SKWHAOUL
'×': SKWHAOEUL
'+': SKWHAOG
'∑': SKWHAOEG
'¶': SKWHAOUG
'±': SKWHAOEUG
',': SKWHAOB
'∪': SKWHAOEB
'∨': SKWHAOUB
'∉': SKWHAOEUB
'-': SKWHAOPL
'−': SKWHAOEPL
'–': SKWHAOUPL
'—': SKWHAOEUPL
'.': SKWHAOR
'•': SKWHAOER
'·': SKWHAOUR
'…': SKWHAOEUR
'/': SKWHAORP
'⇒': SKWHAOERP
'⇔': SKWHAOURP
'÷': SKWHAOEURP
':': SKWHAOLG
'∋': SKWHAOELG
'∵': SKWHAOULG
'∴': SKWHAOEULG
';': SKWHAORB
'∀': SKWHAOERB
'∃': SKWHAOURB
'∄': SKWHAOEURB
'=': SKWHAOPBLG
'≡': SKWHAOEPBLG
'≈': SKWHAOUPBLG
'≠': SKWHAOEUPBLG
'?': SKWHAOFPB
'¿': SKWHAOEFPB
'∝': SKWHAOUFPB
'‽': SKWHAOEUFPB
'@': SKWHAOFRPBLG
'⊕': SKWHAOEFRPBLG
'⊗': SKWHAOUFRPBLG
'∅': SKWHAOEUFRPBLG
'\': SKWHAOFB
'Δ': SKWHAOEFB
'√': SKWHAOUFB
'∞': SKWHAOEUFB
'^': SKWHAORPG
'«': SKWHAOERPG
'»': SKWHAOURPG
'°': SKWHAOEURPG
'_': SKWHAOBG
'≤': SKWHAOEBG
'≥': SKWHAOUBG
'µ': SKWHAOEUBG
'`': SKWHAOP
'⊂': SKWHAOEP
'⊃': SKWHAOUP
'π': SKWHAOEUP
'~': SKWHAOFPBG
'⊆': SKWHAOEFPBG
'⊇': SKWHAOUFPBG
'˜': SKWHAOEUFPBG
warning_message=Hint: use Emily’s symbols dictionary and turn off simple typography setting
