Emotions

'adventurous': SREPBG/ROUS
'afraid': A/TPRAEUD
'alarmed': A/HRARPLD
'alert': A/HRERT
'ambitious': APL/PWEURBT
'amorous': APL/ROUS
'amused': A/PHAOUS/-D
'angry': APBG/REU
'annoyed': TPHOEUD
'anxious': KPUS
'apathetic': AP/THET/EUBG
'aroused': A/ROUFD
'ashamed': A/SHAEUPLD
'astonished': A/STOPB/EURBD
'at ease': AT/AOEZ
'attentive': A/TEPBT/EUF
'bellicose': PWEL/KOES
'bitter': PWEURT
'bored': PWORD
'calm': KAUPL
'compassionate': KPAGS/TPHAT
'conceited': KAUPB/SAOET/-D
'confident': K-FT
'conscientious': KERBS
'contemplative': KAUPB/TPHRAEUT/EUF
'contemptuous': KAUPB/TEPLT/WOUS
'content': KAUPBT
'contented': KAUPBT/-D
'convinced': KWEUPBS/-D
'courageous': KRAEURBS
'defiant': TKE/TPAOEUPBT
'dejected': TKE/SKWREBGD
'delighted': TKHRAOEUTD
'depressed': TKPRES/-D
'desperate': TKEFP/RAT
'despondent': TKE/SPOPBD/EPBT
'determined': TKERPLD
'disappointed': TKEUS/POEUPBTD
'discontented': TKEUS/KAUPBTD
'disgusted': TKEUS/TKPWUFT/-D
'dissatisfied': TKEUS/SAED
'distressed': STKREFD
'distrustful': TKRUFT/-FL
'doubtful': TKOUT/-FL
'droopy': TKRAOP/KWREU
'elated': AOE/HRAEUTD
'embarrassed': EPL/PWRAFD
'enraged': EPB/RAEUPBLGD
'enthusiastic': SPWAOUZ/KWRAS/TEUBG
'envious': EPB/SROUS
'excited': KPAOEUTD
'expectant': KP-PT/TAPBT
'fatigued': TPA/TAOEGD
'friendly': TPREPBLD
'frustrated': TPRUFT/RAEUTD
'glad': TKPWHRAD
'gloomy': TKPWHRAOPL/KWREU
'guilt': TKPWEULT
'happy': HAEP
'hateful': HAEUT/-FL
'hesitant': HES/TAPBT
'hopeful': HOEFL
'hostile': HOFT/*L
'impatient': EUPL/PAEURBT
'impressed': EUPL/PREFD
'indignant': EUPB/TKEUG/TPHAPBT
'insulted': EUPB/SULT/-D
'interested': TR-D
'jealous': SKWR*ELS
'joyous': SKWROEU/KWROUS
'languid': HRAPBG/WEUD
'light-hearted': HRAOEUT/HART/-D
'loathing': HROET/-G
'longing': HROPBG/-G
'lusting': HRUFT/-G
'melancholic': PHEPBL/KOLG
'miserable': PHEUZ/-BL
'passionate': PAGS/A*T
'peaceful': PAES/-FL
'pensive': PEPB/SEUF
'pleased': PHREFD
'polite': PHRAOEUT
'relaxed': RE/HRAGD
'reverent': R*EFRPBT
'sad': SAD
'satisfied': SAED
'self-confident': SEF/K-FT
'serene': SRAO*EPB
'serious': SAOERS
'sleepy': SHRAOE/PEU
'solemn': SHREPL
'startled': START/-LD
'stressed': STREFD
'superior': SPOEUR
'suspicious': SPEURBS
'taken aback': TAEPB/A/PWABG
'tense': TEPBS
'tired': TAOEURD
'triumphant': TRAOEU/UPL/TPAPBT
'uncomfortable': TPH-BL
'upset': AUP/SET
'wavering': WAEUFRG
'well': WEL
'worried': WOERD
