FR: -fer

'aquifer': ABG/TPER
'bluffer': PWHRUFR
'buffer': PWUFR
'coffer': KOEFR
'confer': K-FR
'conifer': KOPB/TPER
'defer': TKEFR
'differ': TK-FR
'duffer': TKUFR
'gaffer': TKPWAFR
'golfer': TKPWOFR
'heifer': HEFR
'infer': TPH-FR
'lifer': HRAOEUFR
'loafer': HROEFR
'offer': OFR
'pilfer': PEUL/TPER
'prefer': PREFR
'proffer': PROFR
'puffer': PUFR
'reefer': RAOEFR
'refer': REFR
'roofer': RAOFR
'safer': SAEUFR
'sniffer': STPHEUFR
'snuffer': STPHUFR
'staffer': STAFR
'stiffer': STEUFR
'suffer': SUFR
'surfer': SUR/TPER
'transfer': TRAF
'wafer': WAEFR
'woofer': WAOFR
