FR: -ver

'Passover': PAS/O*EFR
'Plover': PHROFR
'achiever': A/KHAOEFR
'aver': A*FR
'beaver': PWAOEFR
'believer': PWHRAOEFR
'braver': PWRAEUFR
'cadaver': KA/TKAFR
'cantilever': KAPBT/HRAOEFR
'caregiver': KAEUR/TKPWEUFR
'carver': KAFRB/ER
'changeover': KHAEUPBG/O*EFR
'cleaver': KHRAOEFR
'clever': KHREFR
'clover': KHROEFR
'cover': KOFR
'deceiver': TKE/SAOEFR
'deliver': TKHREUFR
'delver': TKEL/SRER
'discover': SKOFR
'diver': TKAOEUFR
'driver': TKREUFR
'drover': TKROEFR
'engraver': EPB/TKPWRAEUFR
'ever': -FR
'fever': TPAOEF
'fiver': TPAOEUFR
'forever': TPOFR
'giver': TKPWEUFR
'graver': TKPWRAEUFR
'hangover': HAPBG/O*EFR
'holdover': HOELD/O*EFR
'hover': HOFR
'however': HOUF
'lever': HREFR
'lifesaver': HRAOEUF/SA*EUFR
'liver': HREUFR
'lover': HRUFR
'makeover': PHAEUBG/O*EFR
'moreover': PHROEFR
'mover': PHOFR
'never': TPHEFR
'observer': OERB
'over': OEFR
'palaver': PA/HRA*FR
'paver': PAFR
'plover': PHRO*FR
'preserver': PREFRB/*ER
'quaver': KWA*EUFR
'quicksilver': KWEUBG/SEUL/SRER
'quiver': KWEUFR
'receiver': SAOEFR
'recover': ROFR
'rediscover': RE/SKOFR
'reliever': RE/HREFR
'remover': RE/PHOFR
'retriever': RE/TRAOEFR
'revolver': SROFR
'river': REUFR
'rover': ROEFR
'salver': SAL/SRER
'saver': SAFR
'screwdriver': SKRAOU/TKRAOEUFR
'server': SEFRB/*ER
'sever': SEFR
'shaver': SHAEUFR
'shiver': SHEUFR
'silver': SEUL/SRER
'sliver': SHREUFR
'takeover': TAEUBG/O*EFR
'transceiver': TRAPB/SAO*EFR
'turnover': TURPB/O*EFR
'uncover': UPB/KOFR
'undercover': UPBD/KOFR
'voiceover': SROEUS/O*EFR
'waiver': WAEUFR
'waver': WAFR
'weaver': WAOEFR
