Longest Words with Single-Stroke Briefs

'supercalifragilisticexpialidocious': STPRAPBLG
'antidisestablishmentarianism': SHRA*EURPL
'hospitalization': HOPGS
'straightforward': SRAOD
'notwithstanding': TPHAPBG
'transportation': TR-PGS
'conformational': KPHAEUPBL
'correspondence': KOERPBS
'grandfathering': TKPWR-FG
'granddaughters': TKPWR-DZ
'susceptibility': SKEBLT
'sustainability': STAUPBLT
'congratulation': TKPWRAFPGS
'accomplishment': PHREUPLT
'contraceptives': K*EFS
'classification': KHRAEUFGS
'carbohydrates': KA*ERBS
'knowledgeable': TPHOBL
'contraception': K*EPBGS
'entrepreneurs': PRAOURPBS
'northeasterly': TPHAO*ERL
'spontaneously': SPAEUPBLS
'uncomfortable': TPH-BL
'precipitation': PR*EUPGS
'accomplishing': PHREURBG
'unfortunately': UFL
'professionals': PREPBLS
'communication': KAEUBGS
'videocassette': SRAOBG
'photographing': TPOEFG
'magnification': PHA*PBGS
'motherfuckers': PH-FRBGS
'homeownership': HOERP
'distinguished': STKPWAOURBD
'corresponding': KOERPBG
'establishment': STAEPLT
'grandchildren': TKPWR-PB
'schoolteacher': SKAOEFRP
'distinguishes': STKPWAOURBS
'circumstances': SEURBGS
'grandfathered': TKPWR-FD
'miscellaneous': PH*EUFBG
'relationships': R*EUPS
'granddaughter': TKPWR-D
'participation': PARPGS
'negotiability': TKPWOERBLT
'recombination': KPWREUPBGS
'participating': PA*EUGT
'understanding': URPBGD
'disadvantages': TKAPBGS
'advertisement': TAOEUPLT
'qualification': KW-FGS
'accomplishes': PHREURBS
'consequences': KWEPBSZ
'disagreement': TKAOEPLT
'satisfaction': SAEBGS
'demonstrable': STRABL
'partnerships': PARPS
'preponderate': P-PT
'contributing': KR-BGT
'neighborhood': TPHAOD
'participated': PA*EUTD
'sufficiently': SUFL
'participants': PA*PBTS
'occasionally': KWAEULGS
'perspectives': PEFS
'simultaneous': SPHULT
'manufactured': PH-FD
'grandfathers': TKPWR-FS
'grandmothers': TKPWR-PLS
'merchandised': PH-FPD
'motherfucker': PH-FRBG
'exchangeable': KHAEUBL
'desirability': STKAOEURBLT
'stockholders': STHORLDZ
'consistently': KAOPBLT
'grandparents': TKPWR-PTS
'municipality': PHAO*UPLT
'measurements': PHEPLTS
'developments': SREPLTS
'investigates': SREGTS
'advancements': SRAPLTS
'conveniently': SRAOEPBL
'prescription': PR-PGS
'capabilities': KAEUBLTS
'conditioning': K-PBG
'accomplished': PHREURBD
'fundamentals': TP*ULS
'transplanted': THRAPBTD
'substituting': SPWAOUGT
'preservation': PREFRGS
'substitution': STUGS
'efficiencies': TPAOERBS
'subsidiaries': SPWAERS
'suppressives': SPREFS
'suppressants': SPREFPBTS
'prerequisite': PR-R
'preferential': PREFRL
'practitioner': PRER
'photographic': TPOEFBG
